study_name,process_b,process_b_domain,process_b_domain_new,response,process_b_label,process_b_domain_label
map,digit_o,working memory,attention and working memory,,Digit Ordering,Attention & Working Memory
map,digit_b,working memory,attention and working memory,,Digit Span Backward,Attention & Working Memory
nas,digit_b,working memory,attention and working memory,,Digit Span Backward,Attention & Working Memory
octo,digit_b,working memory,attention and working memory,,Digit Span Backward,Attention & Working Memory
satsa,digit_b,working memory,attention and working memory,,Digit Span Backward,Attention & Working Memory
nas,digit_b_tot,working memory,attention and working memory,,Digit Span Backward Span,Attention & Working Memory
eas,digit_tot,short-term memory,attention and working memory,,Digit Span Total,Attention & Working Memory
eas,trailsb,executive function,attention and working memory,,Trials B,Attention & Working Memory
map,digit_f,attention,attention and working memory,,Digit Span Forward,Attention & Working Memory
octo,digit_f,attention,attention and working memory,,Digit Span Forward,Attention & Working Memory
satsa,digit_f,attention,attention and working memory,,Digit Span Forward,Attention & Working Memory
hrs,serial7,attention,attention and working memory,,Serial 7s,Attention & Working Memory
map,bstory_de,episodic memory,learning and memory,delayed,Boston Story Delayed,Learning & Memory
map,logic_de,episodic memory,learning and memory,delayed,Logical Memory Delayed,Learning & Memory
eas,logic_tot,episodic memory,learning and memory,,Logical Memory Total,Learning & Memory
elsa,word_de,episodic memory,learning and memory,delayed,Word List Delayed,Learning & Memory
hrs,word_de,episodic memory,learning and memory,delayed,Word List Delayed,Learning & Memory
map,word_de,episodic memory,learning and memory,delayed,Word List Delayed,Learning & Memory
nas,word_de,episodic memory,learning and memory,delayed,Word List Delayed,Learning & Memory
map,bstory_im,short-term memory,learning and memory,immediate,Boston Story Immediate,Learning & Memory
satsa,fig_mem,short-term memory,learning and memory,,Figure Memory,Learning & Memory
map,logic_im,short-term memory,learning and memory,immediate,Logical Memory Immediate,Learning & Memory
octo,mir,episodic memory,learning and memory,,Objects Recalled,Learning & Memory
octo,mir_recog,episodic memory,learning and memory,recognition,Objects Recognized,Learning & Memory
octo,prose_im,short-term memory,learning and memory,immediate,Prose Immediate,Learning & Memory
eas,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
elsa,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
hrs,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
lasa,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
map,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
nas,word_im,short-term memory,learning and memory,immediate,Word List Immediate,Learning & Memory
map,word_rec,episodic memory,learning and memory,delayed,Word Recognition,Learning & Memory
eas,mmse,mental status,mental status,,Calculated MMSE,Mental Status
map,ideas,verbal comprehension,mental status,,Ideas,Mental Status
map,mmse,mental status,mental status,,MMSE,Mental Status
nas,mmse,mental status,mental status,,MMSE,Mental Status
nuage,mmms,mental status,mental status,,MMSE,Mental Status
nuage,mmse,mental status,mental status,,MMSE,Mental Status
