study_name,process,subgroup,n,species,intercept,slope,process_group,subgroup_group,n_group
eas,block,female,150,intercept," 18.93(2.41),$p$<.01","  0.80(0.47),$p$=.09",block,female,150
eas,block,female,150,age," -0.15(0.16),$p$=.37"," -0.04(0.03),$p$=.15",block,female,150
eas,block,female,150,education,"  0.88(0.26),$p$<.01"," -0.07(0.05),$p$=.17",block,female,150
eas,block,female,150,height," -0.01(0.11),$p$=.91"," -0.01(0.02),$p$=.66",block,female,150
eas,block,female,150,smoking,"  1.53(1.44),$p$=.29"," -0.10(0.26),$p$=.69",block,female,150
eas,block,female,150,cardio," -0.38(2.44),$p$=.88"," -0.07(0.73),$p$=.93",block,female,150
eas,block,female,150,diabetes," -4.39(2.59),$p$=.09","  0.18(0.40),$p$=.65",block,female,150
eas,block,male,72,intercept," 24.09(7.14),$p$<.01","  1.46(1.58),$p$=.36",block,male,72
eas,block,male,72,age,"  0.25(0.45),$p$=.57"," -0.09(0.08),$p$=.28",block,male,72
eas,block,male,72,education,"  0.58(0.53),$p$=.28"," -0.09(0.11),$p$=.44",block,male,72
eas,block,male,72,height,"  0.04(0.22),$p$=.85"," -0.03(0.05),$p$=.48",block,male,72
eas,block,male,72,smoking," -3.94(3.47),$p$=.26","  0.25(0.78),$p$=.80",block,male,72
eas,block,male,72,cardio,"  0.32(4.47),$p$=.93","  0.22(1.57),$p$=.89",block,male,72
eas,block,male,72,diabetes," -3.76(3.99),$p$=.35"," -0.42(1.11),$p$=.71",block,male,72
eas,bnt,female,150,intercept," 10.80(0.66),$p$<.01"," -0.06(0.16),$p$=.69",bnt,female,150
eas,bnt,female,150,age," -0.06(0.05),$p$=.29"," -0.01(0.01),$p$=.52",bnt,female,150
eas,bnt,female,150,education,"  0.27(0.07),$p$<.01"," -0.00(0.02),$p$=.90",bnt,female,150
eas,bnt,female,150,height,"  0.00(0.03),$p$=.88","  0.00(0.01),$p$=.97",bnt,female,150
eas,bnt,female,150,smoking,"  0.45(0.24),$p$=.07","  0.01(0.11),$p$=.91",bnt,female,150
eas,bnt,female,150,cardio," -0.82(0.50),$p$=.11","  0.20(0.19),$p$=.27",bnt,female,150
eas,bnt,female,150,diabetes," -1.64(0.48),$p$<.01"," -0.03(0.12),$p$=.79",bnt,female,150
eas,bnt,male,72,intercept," 11.09(1.92),$p$<.01","  0.19(0.43),$p$=.64",bnt,male,72
eas,bnt,male,72,age,"  0.04(0.08),$p$=.64"," -0.03(0.02),$p$=.28",bnt,male,72
eas,bnt,male,72,education,"  0.10(0.16),$p$=.54"," -0.00(0.03),$p$=.88",bnt,male,72
eas,bnt,male,72,height,"  0.01(0.07),$p$=.87","  0.00(0.02),$p$=.89",bnt,male,72
eas,bnt,male,72,smoking,"  0.91(0.94),$p$=.34"," -0.20(0.24),$p$=.39",bnt,male,72
eas,bnt,male,72,cardio," -0.22(1.17),$p$=.83"," -0.02(0.61),$p$=.97",bnt,male,72
eas,bnt,male,72,diabetes," -0.37(1.00),$p$=.70","  0.22(0.28),$p$=.44",bnt,male,72
