domain,category_short,category_long,category_multiline,color_text,color_fill,entry,alt1,alt2,alt3
knowledge,info,,,,,info,,,
knowledge,nart,,,,,nart,,,
knowledge,synon,,,,,synonyms,,,
knowledge,waisgen,,,,,waisgeneral,waisgeneralknowledge,,
knowledge,waisvoc,,,,,waisvocab,,,
language,bnt,Boston Naming Test,Boston\nNaming\nTest,#030542,#FFFFFF,bnt,bostonnamingtest,,
language,lang,,,,,language,,,
fluency,categ,,,,,categories,,,
fluency,fluency,,,,,fluency,,,
 memory,bst,,,,,bostonstory,,,
 memory,drecall,,,,,delayedrecall,,,
 memory,digitsf,,,,,digitsforward,,,
 memory,figmem,,,,,figurememory,,,
 memory,logmem,,,,,logicalmemory,,,
 memory,wldelay,,,,,wordlistdelay,,,
 memory,wlimmed,,,,,wordlistimmed,,,
 memory,wlrecog,,,,,wordlistrecog,,,
 memory,mirrecall,,,,,mirrecall,,,
 memory,prose,,,,,proserecall,prose,,
workmemory,exec,,,,,executive,,,
workmemory,trailsb,,,,,trailsb,,,
vsreasoning,block,,,,,block,,,
vsreasoning,figlog,,,,,figurelogic,,,
vsreasoning,matrix,,,,,matrices,raven,,
vsreasoning,rotat,,,,,rotations,,,
vsreasoning,spatab,,,,,lpsspatialability,ipsspatialability,,
vsreasoning,waispic,,,,,waispicturecompletion,,,
vsreasoning,line,,,,,line,lineorientation,,
vsreasoning,vsreas,,,,,visuospatial,reasoning,,
vsreasoning,reas,,,,,reasoning,,,
speed,symbol,,,,,symbol,codingtask,,
speed,figid,,,,,figureid,,,
speed,numcom,,,,,numbercomp,,,
speed,patcom,,,,,patterncomp,,,
speed,psif,,,,,psif,,,
speed,speed,,,,,speed,,,
mental,3ms,,,,,3ms,,,
mental,mmse,,,,,mmse,,,
mental,clock,,,,,clock,,,
mental,serial7,,,,,serial7,,,
mental,tics,,,,,tics,,,
mental,mental,,,,,mental,,,
