domain,study,physical,cognitive,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
Attention & Working Memory,map,fev,Digit Ordering,Women,935," .06( .02), $p$<.01 ***",0.06,0.017,0.0," .00( .00), $p$=.69  ",0.0,0.001,0.694," .00( .00), $p$=.28  ",0.005,0.005,0.282
Attention & Working Memory,map,fev,Digit Ordering,Men,321,"-.01( .04), $p$=.74  ",-0.014,0.044,0.742," .00( .00), $p$=.96  ",0.0,0.003,0.958," .00( .01), $p$=.95  ",0.001,0.013,0.947
Attention & Working Memory,map,fev,Digit Span Backward,Women,935," .06( .02), $p$=.01 **",0.062,0.023,0.007," .00( .00), $p$=.10  ",0.003,0.002,0.104,"-.01( .01), $p$=.18  ",-0.008,0.006,0.182
Attention & Working Memory,map,fev,Digit Span Backward,Men,321," .13( .06), $p$=.03 *",0.134,0.061,0.027,"-.00( .00), $p$=.61  ",-0.002,0.003,0.611,"-.00( .01), $p$=.77  ",-0.003,0.011,0.77
Attention & Working Memory,nas,fev,Digit Span Backward,Men,1131," .16( .25), $p$=.52  ",0.163,0.252,0.517," .00( .00), $p$=.22  ",0.002,0.001,0.217," .05( .04), $p$=.26  ",0.048,0.043,0.265
Attention & Working Memory,octo,pef,Digit Span Backward,Women,276,"8.67(5.94), $p$=.14  ",8.668,5.941,0.145," .04( .12), $p$=.77  ",0.035,0.119,0.766," .81(2.51), $p$=.74  ",0.814,2.507,0.745
Attention & Working Memory,octo,pef,Digit Span Backward,Men,138,"29.48(12.37), $p$=.02 *",29.479,12.368,0.017," .37( .34), $p$=.28  ",0.374,0.343,0.276,"-5.41(4.73), $p$=.25  ",-5.407,4.726,0.253
Attention & Working Memory,satsa,fev,Digit Span Backward,Women,409," .08( .03), $p$<.01 ***",0.083,0.026,0.001," .00( .00), $p$=.17  ",0.0,0.0,0.171,"-.01( .01), $p$=.51  ",-0.008,0.013,0.51
Attention & Working Memory,satsa,fev,Digit Span Backward,Men,299," .09( .04), $p$=.03 *",0.089,0.041,0.031," .00( .00), $p$=.41  ",0.0,0.0,0.413,"-.01( .01), $p$=.42  ",-0.009,0.011,0.422
Attention & Working Memory,nas,fev,Digit Span Backward Span,Men,1131," .22( .42), $p$=.59  ",0.223,0.417,0.593," .00( .00), $p$=.74  ",0.001,0.002,0.743," .09( .07), $p$=.19  ",0.087,0.066,0.189
Attention & Working Memory,map,fev,Digit Span Forward,Women,935," .07( .02), $p$<.01 **",0.066,0.024,0.005," .00( .00), $p$=.98  ",0.0,0.001,0.982," .00( .01), $p$=.46  ",0.004,0.006,0.464
Attention & Working Memory,map,fev,Digit Span Forward,Men,321," .06( .06), $p$=.27  ",0.06,0.055,0.273," .00( .00), $p$=.78  ",0.001,0.003,0.777,"-.01( .01), $p$=.56  ",-0.007,0.011,0.561
