domain,study,physical,cognitive,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
Attention & Working Memory,map,grip,Digit Ordering,Women,935," .59( .54), $p$=.27  ",0.59,0.536,0.272," .09( .04), $p$=.03 *",0.09,0.043,0.034,"-.01( .14), $p$=.94  ",-0.01,0.143,0.944
Attention & Working Memory,map,grip,Digit Ordering,Men,321," .80(1.59), $p$=.61  ",0.8,1.588,0.614,"-.04( .08), $p$=.64  ",-0.037,0.079,0.641," .00( .28), $p$=.99  ",0.003,0.28,0.99
Attention & Working Memory,map,grip,Digit Span Backward,Women,935,"1.18( .67), $p$=.08 .",1.183,0.67,0.077," .05( .04), $p$=.26  ",0.05,0.044,0.255," .38( .16), $p$=.02 *",0.381,0.162,0.019
Attention & Working Memory,map,grip,Digit Span Backward,Men,321," .58(2.02), $p$=.77  ",0.583,2.018,0.773," .01( .10), $p$=.95  ",0.007,0.1,0.946," .91( .34), $p$=.01 **",0.909,0.338,0.007
Attention & Working Memory,octo,grip,Digit Span Backward,Women,276,"-.00( .14), $p$=.99  ",-0.001,0.136,0.995,"-.00( .00), $p$=.39  ",-0.004,0.004,0.391," .06( .06), $p$=.34  ",0.057,0.059,0.336
Attention & Working Memory,octo,grip,Digit Span Backward,Men,139," .12( .23), $p$=.61  ",0.12,0.232,0.606," .00( .01), $p$=.70  ",0.005,0.013,0.698,"-.16( .10), $p$=.10 .",-0.158,0.095,0.095
Attention & Working Memory,satsa,grip,Digit Span Backward,Women,409," .45( .40), $p$=.26  ",0.448,0.402,0.265," .00( .00), $p$=.29  ",0.002,0.002,0.293," .25( .18), $p$=.16  ",0.246,0.176,0.161
Attention & Working Memory,satsa,grip,Digit Span Backward,Men,299,"1.36( .62), $p$=.03 *",1.36,0.619,0.028," .00( .00), $p$=.75  ",0.001,0.004,0.749,"-.11( .26), $p$=.67  ",-0.108,0.256,0.672
Attention & Working Memory,map,grip,Digit Span Forward,Women,935," .27( .66), $p$=.68  ",0.27,0.661,0.683," .06( .05), $p$=.16  ",0.064,0.046,0.165," .15( .16), $p$=.36  ",0.146,0.16,0.361
Attention & Working Memory,map,grip,Digit Span Forward,Men,321,"1.78(1.67), $p$=.28  ",1.78,1.667,0.285," .04( .08), $p$=.61  ",0.041,0.081,0.615," .05( .36), $p$=.88  ",0.053,0.356,0.881
Attention & Working Memory,octo,grip,Digit Span Forward,Women,276,"-.08( .12), $p$=.50  ",-0.078,0.116,0.502," .00( .00), $p$=.70  ",0.001,0.003,0.698," .04( .04), $p$=.35  ",0.04,0.043,0.349
Attention & Working Memory,octo,grip,Digit Span Forward,Men,139,"-.29( .27), $p$=.28  ",-0.289,0.268,0.281," .00( .01), $p$=.51  ",0.005,0.008,0.51,"-.07( .07), $p$=.33  ",-0.066,0.067,0.329
