process_b_domain,study_name,model_number,subgroup,model_type,process_a,process_b,subject_count,er_tau_00_est,er_tau_00_se,er_tau_00_pval,er_tau_00_ci95lo,er_tau_00_ci95hi,er_tau_11_est,er_tau_11_se,er_tau_11_pval,er_tau_11_ci95lo,er_tau_11_ci95hi,er_sigma_00_est,er_sigma_00_se,er_sigma_00_pval,er_sigma_00_ci95lo,er_sigma_00_ci95hi
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Ordering,935,0.06,0.054,0.27,-0.045840000000000006,0.16584,0.599,0.307,0.051,-0.0027200000000000557,1.20072,-0.002,0.028,0.944,-0.05688,0.052879999999999996
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Ordering,321,0.049,0.097,0.609,-0.14112000000000002,0.23912,-0.348,0.783,0.657,-1.8826800000000001,1.18668,0.001,0.045,0.99,-0.0872,0.0892
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Span Backward,935,0.08,0.045,0.075,-0.008199999999999999,0.16820000000000002,0.306,0.28,0.274,-0.24280000000000007,0.8548,0.066,0.028,0.018,0.011120000000000005,0.12088
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Span Backward,321,0.025,0.086,0.772,-0.14356,0.19355999999999998,0.03,0.445,0.946,-0.8422,0.9022,0.128,0.046,0.005,0.03784000000000001,0.21816
Attention & Working Memory,octo,b1,female,aehplus,grip,Digit Span Backward,276,-0.001,0.104,0.995,-0.20484,0.20284,-0.442,0.637,0.488,-1.69052,0.8065200000000001,0.047,0.048,0.333,-0.04708,0.14107999999999998
Attention & Working Memory,octo,b1,male,aehplus,grip,Digit Span Backward,139,0.056,0.108,0.607,-0.15568,0.26768000000000003,0.195,0.52,0.708,-0.8242,1.2142000000000002,-0.128,0.074,0.085,-0.27304,0.01704
Attention & Working Memory,satsa,b1,female,aehplus,grip,Digit Span Backward,409,0.13,0.115,0.261,-0.09540000000000001,0.35540000000000005,0.312,0.277,0.261,-0.23092000000000007,0.8549200000000001,0.051,0.036,0.158,-0.01956,0.12156
Attention & Working Memory,satsa,b1,male,aehplus,grip,Digit Span Backward,299,0.291,0.128,0.022,0.04011999999999999,0.5418799999999999,0.357,1.128,0.752,-1.85388,2.5678799999999997,-0.02,0.048,0.672,-0.11408,0.07408
Attention & Working Memory,map,b1,female,aehplus,grip,Digit Span Forward,935,0.018,0.044,0.682,-0.06824,0.10424,0.462,0.33,0.162,-0.18480000000000002,1.1088,0.025,0.028,0.36,-0.029879999999999997,0.07988
Attention & Working Memory,map,b1,male,aehplus,grip,Digit Span Forward,321,0.082,0.076,0.276,-0.06695999999999998,0.23096,0.251,0.508,0.621,-0.74468,1.24668,0.008,0.051,0.881,-0.09195999999999999,0.10796
Attention & Working Memory,octo,b1,female,aehplus,grip,Digit Span Forward,276,-0.059,0.089,0.502,-0.23343999999999998,0.11543999999999999,0.125,0.323,0.699,-0.50808,0.75808,0.045,0.049,0.358,-0.05104,0.14104
Attention & Working Memory,octo,b1,male,aehplus,grip,Digit Span Forward,139,-0.152,0.131,0.246,-0.40876,0.10475999999999999,0.241,0.376,0.522,-0.49595999999999996,0.9779599999999999,-0.073,0.074,0.319,-0.21804,0.07204
Attention & Working Memory,satsa,b1,female,aehplus,grip,Digit Span Forward,409,-0.012,0.1,0.902,-0.20800000000000002,0.184,0.588,0.78,0.451,-0.9408,2.1168,0.025,0.032,0.443,-0.03772,0.08771999999999999
Attention & Working Memory,satsa,b1,male,aehplus,grip,Digit Span Forward,299,0.19,0.121,0.117,-0.04715999999999998,0.42716,0.402,0.772,0.602,-1.11112,1.91512,0.035,0.05,0.488,-0.063,0.133
Attention & Working Memory,eas,b1,female,aehplus,grip,Digit Span Total,363,-0.03,0.148,0.84,-0.32008000000000003,0.26008,0.829,0.266,0.002,0.3076399999999999,1.35036,-0.032,0.082,0.693,-0.19272,0.12872
Attention & Working Memory,eas,b1,male,aehplus,grip,Digit Span Total,222,0.044,0.25,0.859,-0.446,0.534,0.282,0.9,0.754,-1.482,2.046,0.02,0.111,0.86,-0.19756,0.23756
Attention & Working Memory,hrs,b1,female,aehplus,grip,Serial 7s,4604,0.028,0.028,0.317,-0.026879999999999998,0.08288,0.453,0.128,0.0,0.20212000000000002,0.7038800000000001,-0.027,0.02,0.18,-0.0662,0.012199999999999999
Attention & Working Memory,hrs,b1,male,aehplus,grip,Serial 7s,3288,0.155,0.039,0.0,0.07856,0.23143999999999998,0.304,0.112,0.007,0.08448,0.52352,-0.038,0.027,0.17,-0.09092,0.014920000000000003
Attention & Working Memory,eas,b1,female,aehplus,grip,Trials B,362,-0.105,0.176,0.552,-0.44995999999999997,0.23996,0.816,0.341,0.017,0.14763999999999988,1.4843600000000001,0.146,0.084,0.084,-0.018640000000000018,0.31064
Attention & Working Memory,eas,b1,male,aehplus,grip,Trials B,221,0.228,0.334,0.494,-0.42664,0.88264,-0.369,0.807,0.648,-1.95072,1.21272,-0.029,0.156,0.855,-0.33476,0.27675999999999995
Learning & Memory,map,b1,female,aehplus,grip,Boston Story Delayed,935,0.029,0.056,0.613,-0.08076,0.13876,0.259,0.26,0.319,-0.25060000000000004,0.7686000000000001,-0.012,0.029,0.677,-0.06884,0.044840000000000005
Learning & Memory,map,b1,male,aehplus,grip,Boston Story Delayed,321,0.095,0.092,0.302,-0.08531999999999998,0.27532,-0.548,0.506,0.279,-1.53976,0.44375999999999993,0.044,0.046,0.339,-0.04615999999999999,0.13416
Learning & Memory,map,b1,female,aehplus,grip,Boston Story Immediate,935,-0.014,0.057,0.802,-0.12572,0.09772,0.111,0.279,0.692,-0.43584,0.65784,-0.013,0.029,0.661,-0.06984,0.043840000000000004
Learning & Memory,map,b1,male,aehplus,grip,Boston Story Immediate,321,0.141,0.101,0.16,-0.05696000000000001,0.33896,-0.031,0.639,0.962,-1.28344,1.22144,0.008,0.044,0.853,-0.07824,0.09423999999999999
Learning & Memory,satsa,b1,female,aehplus,grip,Figure Memory,409,0.024,0.097,0.8,-0.16612000000000002,0.21412,0.122,0.406,0.764,-0.67376,0.91776,0.131,0.043,0.002,0.04672000000000001,0.21528
Learning & Memory,satsa,b1,male,aehplus,grip,Figure Memory,299,0.237,0.116,0.042,0.009639999999999982,0.46436,0.496,0.505,0.325,-0.4938,1.4858,0.117,0.049,0.016,0.020960000000000006,0.21304
Learning & Memory,map,b1,female,aehplus,grip,Logical Memory Delayed,935,0.004,0.043,0.922,-0.08027999999999999,0.08828,0.212,0.197,0.284,-0.17412000000000002,0.59812,0.047,0.029,0.104,-0.009840000000000002,0.10384
Learning & Memory,map,b1,male,aehplus,grip,Logical Memory Delayed,321,-0.058,0.084,0.492,-0.22264,0.10664000000000001,-0.067,0.227,0.768,-0.5119199999999999,0.37792,0.045,0.045,0.32,-0.0432,0.13319999999999999
Learning & Memory,map,b1,female,aehplus,grip,Logical Memory Immediate,935,-0.003,0.045,0.95,-0.0912,0.0852,0.368,0.213,0.084,-0.04947999999999997,0.78548,0.002,0.029,0.938,-0.05484,0.05884
Learning & Memory,map,b1,male,aehplus,grip,Logical Memory Immediate,321,-0.122,0.088,0.167,-0.29447999999999996,0.05048,-0.477,0.385,0.216,-1.2316,0.27760000000000007,0.04,0.047,0.4,-0.05211999999999999,0.13212
Learning & Memory,eas,b1,female,aehplus,grip,Logical Memory Total,360,-0.088,0.151,0.56,-0.38395999999999997,0.20796,0.131,0.659,0.843,-1.1606400000000001,1.4226400000000001,0.081,0.094,0.387,-0.10323999999999998,0.26524
Learning & Memory,eas,b1,male,aehplus,grip,Logical Memory Total,217,-0.117,0.263,0.657,-0.63248,0.39848000000000006,0.029,0.487,0.953,-0.9255199999999999,0.98352,0.131,0.112,0.242,-0.08851999999999999,0.35052
Learning & Memory,octo,b1,female,aehplus,grip,Objects Recalled,273,0.163,0.078,0.036,0.010120000000000018,0.31588,0.631,0.159,0.0,0.31936000000000003,0.9426399999999999,0.044,0.046,0.34,-0.04615999999999999,0.13416
