domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Ordering,935," .02( .01), $p$<.01 **"," .17( .06), $p$<.01 **","( .05, .28)"," .17( .11, .23)"," .00( .00), $p$=.74  ","-.08( .25), $p$=.74  ","(-.57, .41)"," .00(-.06, .06)"," .00( .00), $p$=.92  "," .00( .02), $p$=.92  ","(-.05, .05)"," .00(-.06, .06)"
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Ordering,320," .02( .02), $p$=.21  "," .14( .10), $p$=.19  ","(-.07, .34)"," .14( .03, .24)","-.00( .00), $p$=.74  ","-.31(1.18), $p$=.79  ","(-2.61,2.00)","-.41(-.50,-.31)","-.00( .01), $p$=.92  ","-.00( .04), $p$=.92  ","(-.08, .07)","-.01(-.12, .10)"
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Span Backward,935," .06( .01), $p$<.01 ***"," .26( .05), $p$<.01 ***","( .15, .36)"," .26( .20, .32)"," .00( .00), $p$=.08 ."," .48( .29), $p$=.09 .","(-.08,1.04)"," .35( .30, .41)","-.00( .00), $p$=.47  ","-.02( .03), $p$=.47  ","(-.07, .03)","-.02(-.08, .05)"
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Span Backward,321," .06( .02), $p$=.01 **"," .26( .10), $p$=.01 **","( .08, .45)"," .27( .16, .37)"," .00( .00), $p$=.68  "," .24( .58), $p$=.68  ","(-.89,1.38)"," .21( .10, .31)"," .00( .01), $p$=.96  "," .00( .04), $p$=.96  ","(-.09, .09)"," .00(-.11, .11)"
Attention & Working Memory,octo,b1,female,aehplus,gait,Digit Span Backward,276,"-.76( .31), $p$=.01 *","-.30( .11), $p$<.01 **","(-.51,-.10)","-.30(-.41,-.19)"," .01( .04), $p$=.75  "," .23( .46), $p$=.61  ","(-.66,1.13)"," .27( .15, .37)"," .11( .21), $p$=.60  "," .03( .06), $p$=.58  ","(-.08, .14)"," .03(-.09, .15)"
Attention & Working Memory,octo,b1,male,aehplus,gait,Digit Span Backward,139,"-.46( .47), $p$=.33  ","-.22( .22), $p$=.32  ","(-.64, .21)","-.22(-.37,-.05)","-.02( .03), $p$=.45  ","-.59( .88), $p$=.51  ","(-2.32,1.15)","-.58(-.68,-.46)","-.11( .27), $p$=.69  ","-.04( .11), $p$=.69  ","(-.26, .17)","-.04(-.21, .12)"
Attention & Working Memory,map,b1,female,aehplus,gait,Digit Span Forward,935," .02( .01), $p$=.06 ."," .10( .05), $p$=.05 .","(-.00, .21)"," .10( .04, .17)"," .00( .00), $p$=.76  "," .09( .30), $p$=.76  ","(-.50, .68)"," .00(-.06, .06)"," .00( .00), $p$=.28  "," .03( .03), $p$=.27  ","(-.02, .08)"," .03(-.03, .09)"
Attention & Working Memory,map,b1,male,aehplus,gait,Digit Span Forward,321," .03( .02), $p$=.07 ."," .17( .09), $p$=.07 .","(-.01, .36)"," .17( .06, .28)"," .00( .00), $p$=.69  "," .30( .78), $p$=.70  ","(-1.23,1.82)"," .29( .19, .39)"," .00( .01), $p$=.77  "," .01( .04), $p$=.77  ","(-.07, .09)"," .01(-.10, .12)"
Attention & Working Memory,octo,b1,female,aehplus,gait,Digit Span Forward,276,"-.28( .22), $p$=.22  ","-.11( .08), $p$=.20  ","(-.27, .06)","-.11(-.22, .01)","-.01( .01), $p$=.29  ","-.12( .18), $p$=.51  ","(-.48, .24)","-.12(-.23, .00)","-.10( .10), $p$=.28  ","-.04( .04), $p$=.31  ","(-.12, .04)","-.04(-.16, .08)"
Attention & Working Memory,octo,b1,male,aehplus,gait,Digit Span Forward,139,"-.31( .32), $p$=.33  ","-.17( .18), $p$=.34  ","(-.53, .18)","-.17(-.33,-.01)","-.01( .01), $p$=.33  ","-.56( .69), $p$=.42  ","(-1.91, .80)","-.55(-.66,-.43)","-.10( .13), $p$=.41  ","-.06( .07), $p$=.41  ","(-.19, .08)","-.06(-.22, .11)"
