"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","LL","aic","bic","adj_bic","aaic"
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 3:52 PM",TRUE,"female","age","noPhys",NA,NA,NA,NA,NA,NA,"block",66.367,5.807,0.312,0.117,21.492,1.149,NA,NA,NA,NA,NA,NA,563,"to_do",NA,8,NA,"Mplus VERSION 7.3","u1_female_age_noPhys_block.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-5639.249,11294.498,11329.164,11303.768,11294.7579277978
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 3:55 PM",TRUE,"male","age","noPhys",NA,NA,NA,NA,NA,NA,"block",75.825,7.667,0.085,0.114,22.397,1.53,NA,NA,NA,NA,NA,NA,350,"to_do",NA,8,NA,"Mplus VERSION 7.3","u1_male_age_noPhys_block.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-3527.389,7070.778,7101.641,7076.262,7071.20028739003
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:04 PM",TRUE,"male","age","plumonary",12505.519,3115.589,223.477,118.531,4730.871,841.811,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,"to_do",NA,8,NA,"Mplus VERSION 7.3","u1_male_age_plumonary_noCog.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-2297.794,4611.589,4634.021,4608.727,4612.86333628319
"b1","0.1",NA,NA,NA,"eas","02/23/2015"," 3:45 PM",TRUE,"female","age","pulmonary",5231.921,761.342,122.354,37.895,1696.007,385.886,"block",66.88,5.819,0.321,0.117,21.5,1.149,113.558,4.114,-0.339,0.045,0.001,0.973,563,"to_do",NA,21,NA,"Mplus VERSION 7.3","b1_female_age_pulmonary_block.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-9238.731,18519.463,18610.462,18543.797,18521.170948244
"b1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:47 PM",TRUE,"female","full","pulmonary",3424.623,1327.198,64.982,61.424,1580.157,542.78,"block",61.761,11.13,0.213,0.595,20.848,1.615,120.131,3.111,10.019,0.251,0.479,0.477,181,"to_do",NA,37,NA,"Mplus VERSION 7.3","b1_female_full_pulmonary_block.out","??",NA,NA,"      C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-4207.982,8489.964,8608.308,8491.127,8509.62833566434
"b1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:38 PM",TRUE,"male","age","pulmonary",12358.687,3052.725,207.143,117.474,4752.659,843.477,"block",76.034,7.665,0.097,0.111,22.36,1.513,-121.053,-0.182,12.124,0.35,0.958,0.599,350,"to_do",NA,21,NA,"Mplus VERSION 7.3","b1_male_age_pulmonary_block.out","??",NA,NA,"      C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-5823.453,11688.907,11769.923,11703.304,11691.7240731707
"b1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:49 PM",TRUE,"male","full","pulmonary",10749.718,2103.765,35.194,50.431,3789.382,681.641,"block",70.062,16.043,0.063,0.61,23.384,2.123,-89.857,-0.671,-12.61,0.586,0.861,0.571,140,"to_do",NA,37,NA,"Mplus VERSION 7.3","b1_male_full_pulmonary_block.out","??",NA,NA,"      C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-3416.251,6906.501,7015.342,6898.279,6934.06962745098
"u0","0.1",NA,NA,NA,"eas","02/23/2015"," 4:29 PM",TRUE,"femlae","empty","pulmonary",2669.072,344.602,NA,NA,3737.326,430.381,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,"to_do",NA,3,NA,"Mplus VERSION 7.3","u0_femlae_empty_pulmonary_noCog.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-3742.569,7491.138,7501.278,7491.772,7491.25067605634
"u0","0.1",NA,NA,NA,"eas","02/23/2015"," 4:30 PM",TRUE,"male","empty","pulmonary",8857.405,1424.828,NA,NA,6908.267,1059.216,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,"to_do",NA,3,NA,"Mplus VERSION 7.3","u0_male_empty_pulmonary_noCog.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-2333.955,4673.909,4682.321,4672.836,4674.11238983051
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:02 PM",TRUE,"female","age","pulmonary",5382.969,773.13,121.118,39.536,1691.905,385.354,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,"to_do",NA,8,NA,"Mplus VERSION 7.3","u1_female_age_pulmonary_noCog.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-3608.302,7232.603,7259.642,7234.291,7233.29530769231
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 4:55 PM",TRUE,"female","full","pulmonary",3340.299,913.012,48.406,44.553,1609.434,543.112,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,"to_do",NA,16,NA,"Mplus VERSION 7.3","u1_female_full_pulmonary_noCog.out","??",NA,NA,"    C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-1743.039,3518.078,3560.234,3509.693,3524.40358139535
"u1","0.1",NA,NA,NA,"eas","02/23/2015"," 5:00 PM",TRUE,"male","full","pulmonary",3340.299,913.012,48.406,44.553,1609.434,543.112,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,"to_do",NA,16,NA,"Mplus VERSION 7.3","u1_male_full_pulmonary_noCog.out","??",NA,NA,"      C:\Users\Andrea Zammit\Desktop\EASMaster.csv",-1743.039,3518.078,3560.234,3509.693,3524.40358139535
