type,process,full_name,label
Fixed Effect,a,a_gamma_00,Intercept
Fixed Effect,a,a_gamma_10,Slope
Fixed Effect,a,a_gamma_01,Intercept * age
Fixed Effect,a,a_gamma_02,Intercept * education
Fixed Effect,a,a_gamma_03,Intercept * height
Fixed Effect,a,a_gamma_04,Intercept * smoking
Fixed Effect,a,a_gamma_05,Intercept * cardio
Fixed Effect,a,a_gamma_06,Intercept * diabetes
Fixed Effect,a,a_gamma_11,Slope * age
Fixed Effect,a,a_gamma_12,Slope * education
Fixed Effect,a,a_gamma_13,Slope * height
Fixed Effect,a,a_gamma_14,Slope * smoking
Fixed Effect,a,a_gamma_15,Slope * cardio
Fixed Effect,a,a_gamma_16,Slope * diabetes
Fixed Effect,b,b_gamma_00,Intercept
Fixed Effect,b,b_gamma_10,Slope
Fixed Effect,b,b_gamma_01,Intercept * age
Fixed Effect,b,b_gamma_02,Intercept * education
Fixed Effect,b,b_gamma_03,Intercept * height
Fixed Effect,b,b_gamma_04,Intercept * smoking
Fixed Effect,b,b_gamma_05,Intercept * cardio
Fixed Effect,b,b_gamma_06,Intercept * diabetes
Fixed Effect,b,b_gamma_11,Slope * age
Fixed Effect,b,b_gamma_12,Slope * education
Fixed Effect,b,b_gamma_13,Slope * height
Fixed Effect,b,b_gamma_14,Slope * smoking
Fixed Effect,b,b_gamma_15,Slope * cardio
Fixed Effect,b,b_gamma_16,Slope * diabetes
Variance,a,aa_tau_00,Intercept
Variance,a,aa_tau_11,Slope
Variance,a,a_sigma_00,Residual
Variance,b,bb_tau_00,Intercept
Variance,b,bb_tau_11,Slope
Variance,b,b_sigma_00,Residual
Covariance,ab,ab_tau_00,Intercepts
Covariance,ab,ab_tau_11,Slope
Covariance,ab,ab_sigma_00,Residual
Correlation,r,r_tau_00,Intercepts
Correlation,r,r_tau_11,Slope
Correlation,r,r_sigma_00,Residual
Correlation,cr,cr_tau_00,Intercepts
Correlation,cr,cr_tau_11,Slope
Correlation,cr,cr_sigma_00,Residual
