study name,process,subgroup,model type,n,species,intercept,slope
eas,block,female,a,563,intercept," 41.48(1.36),p<.01"," -0.53(0.28),p<.01"
eas,block,female,a,563,age," -0.48(0.14),p=.26"," -0.04(0.03),p=.17"
eas,block,female,a,563,education,"--,p=  ----","--,p=  ----"
eas,block,female,a,563,height,"--,p=  ----","--,p=  ----"
eas,block,female,a,563,smoking,"--,p=  ----","--,p=  ----"
eas,block,female,a,563,cardio,"--,p=  ----","--,p=  ----"
eas,block,female,a,563,diabetes,"--,p=  ----","--,p=  ----"
eas,block,female,ae,563,intercept," 57.51(3.04),p<.01"," -1.17(0.67),p=.01"
eas,block,female,ae,563,age," -0.86(0.19),p=.02"," -0.05(0.04),p=.19"
eas,block,female,ae,563,education,"  0.93(0.32),p=.31"," -0.03(0.07),p=.17"
eas,block,female,ae,563,height,"--,p=  ----","--,p=  ----"
eas,block,female,ae,563,smoking,"--,p=  ----","--,p=  ----"
eas,block,female,ae,563,cardio,"--,p=  ----","--,p=  ----"
eas,block,female,ae,563,diabetes,"--,p=  ----","--,p=  ----"
eas,block,female,aeh,150,intercept," 62.15(5.06),p<.01"," -1.70(1.38),p=.02"
eas,block,female,aeh,150,age," -0.80(0.30),p=.23"," -0.04(0.07),p=.28"
eas,block,female,aeh,150,education,"  0.40(0.53),p=.23","  0.02(0.14),p=.14"
eas,block,female,aeh,150,height,"  0.10(0.21),p=.70","  0.03(0.04),p=.51"
eas,block,female,aeh,150,smoking,"--,p=  ----","--,p=  ----"
eas,block,female,aeh,150,cardio,"--,p=  ----","--,p=  ----"
eas,block,female,aeh,150,diabetes,"--,p=  ----","--,p=  ----"
eas,block,female,aehplus,150,intercept," 64.64(5.09),p<.01"," -1.60(1.43),p=.05"
eas,block,female,aehplus,150,age," -0.85(0.30),p=.19"," -0.03(0.07),p=.43"
eas,block,female,aehplus,150,education,"  0.37(0.54),p=.22","  0.02(0.15),p=.26"
eas,block,female,aehplus,150,height,"  0.10(0.21),p=.81","  0.02(0.04),p=.54"
eas,block,female,aehplus,150,smoking,"  1.25(2.25),p=.30"," -0.06(0.69),p=.74"
eas,block,female,aehplus,150,cardio," -2.75(4.39),p=.70","  0.11(1.31),p=.88"
eas,block,female,aehplus,150,diabetes,"-11.66(4.43),p=.12","  0.19(1.16),p=.69"
eas,block,female,full,150,intercept," 68.96(5.29),p<.01"," -1.76(1.38),p=.07"
eas,block,female,full,150,age," -0.75(0.29),p=.20"," -0.04(0.07),p=.41"
eas,block,female,full,150,education,"  0.37(0.53),p=.22","  0.01(0.15),p=.25"
eas,block,female,full,150,height,"  0.13(0.20),p=.65","  0.01(0.04),p=.61"
eas,block,female,full,150,smoking,"  1.25(2.29),p=.36"," -0.06(0.72),p=.76"
eas,block,female,full,150,cardio," -1.39(4.30),p=.79","  0.11(1.25),p=.88"
eas,block,female,full,150,diabetes,"-10.69(4.11),p=.13","  0.19(1.23),p=.71"
eas,block,male,a,350,intercept," 45.87(1.74),p<.01"," -0.29(0.40),p=.01"
eas,block,male,a,350,age," -0.40(0.19),p=.50"," -0.08(0.05),p=.09"
eas,block,male,a,350,education,"--,p=  ----","--,p=  ----"
eas,block,male,a,350,height,"--,p=  ----","--,p=  ----"
eas,block,male,a,350,smoking,"--,p=  ----","--,p=  ----"
eas,block,male,a,350,cardio,"--,p=  ----","--,p=  ----"
eas,block,male,a,350,diabetes,"--,p=  ----","--,p=  ----"
eas,block,male,ae,350,intercept," 64.02(3.20),p<.01"," -0.55(0.76),p=.05"
eas,block,male,ae,350,age," -0.53(0.24),p=.50"," -0.08(0.06),p=.13"
eas,block,male,ae,350,education,"  0.01(0.32),p=.89"," -0.00(0.09),p=.98"
eas,block,male,ae,350,height,"--,p=  ----","--,p=  ----"
