study name,process,subgroup,model type,n,species,intercept,slope
eas,block,female,a,563,age," -0.18(0.10),p=.03"," -0.04(0.02),p=.12"
eas,block,female,a,563,education,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,a,563,height,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,a,563,smoking,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,a,563,cardio,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,a,563,diabetes,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,ae,563,age," -0.16(0.10),p=.03"," -0.04(0.02),p=.12"
eas,block,female,ae,563,education,"  0.97(0.13),p=.07"," -0.07(0.03),p=.14"
eas,block,female,ae,563,height,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,ae,563,smoking,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,ae,563,cardio,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,ae,563,diabetes,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,aeh,150,age," -0.12(0.16),p=.43"," -0.04(0.03),p=.11"
eas,block,female,aeh,150,education,"  0.74(0.24),p=.20","  0.01(0.05),p=.15"
eas,block,female,aeh,150,height,"  0.01(0.12),p=.90"," -0.01(0.02),p=.55"
eas,block,female,aeh,150,smoking,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,aeh,150,cardio,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,aeh,150,diabetes,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,female,aehplus,150,age," -0.15(0.17),p=.36"," -0.04(0.03),p=.17"
eas,block,female,aehplus,150,education,"  0.64(0.26),p=.19","  0.01(0.05),p=.17"
eas,block,female,aehplus,150,height,"  0.02(0.11),p=.88"," -0.01(0.02),p=.64"
eas,block,female,aehplus,150,smoking,"  1.53(1.46),p=.30"," -0.10(0.29),p=.71"
eas,block,female,aehplus,150,cardio," -0.39(2.58),p=.87"," -0.06(0.75),p=.93"
eas,block,female,aehplus,150,diabetes," -4.40(2.59),p=.09","  0.18(0.42),p=.67"
eas,block,female,full,150,age," -0.14(0.17),p=.39"," -0.04(0.03),p=.16"
eas,block,female,full,150,education,"  0.63(0.27),p=.20","  0.01(0.05),p=.17"
eas,block,female,full,150,height,"  0.10(0.11),p=.88"," -0.01(0.02),p=.62"
eas,block,female,full,150,smoking,"  1.51(1.49),p=.31"," -0.10(0.29),p=.71"
eas,block,female,full,150,cardio," -0.30(2.73),p=.90"," -0.06(0.82),p=.90"
eas,block,female,full,150,diabetes," -4.30(2.58),p=.10","  0.17(0.45),p=.71"
eas,block,male,a,350,age," -0.26(0.15),p=.50"," -0.07(0.04),p=.06"
eas,block,male,a,350,education,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350,height,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350,smoking,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350,cardio,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,a,350,diabetes,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350,age," -0.27(0.15),p=.50"," -0.07(0.04),p=.05"
eas,block,male,ae,350,education,"  0.01(0.17),p=.88"," -0.00(0.06),p=.97"
eas,block,male,ae,350,height,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350,smoking,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350,cardio,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,ae,350,diabetes,"    NA(  NA),p= NA","    NA(  NA),p= NA"
eas,block,male,aeh,72,age," -0.05(0.38),p=.38"," -0.09(0.13),p=.41"
eas,block,male,aeh,72,education,"  0.72(0.47),p=.16"," -0.09(0.12),p=.36"
eas,block,male,aeh,72,height,"  0.03(0.23),p=.92"," -0.03(0.10),p=.72"
