"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval","model_name","pc_CORR_00","pc_CORR_11","pc_CORR_residual","outcome_count","pc_CORR_00_z","pc_CORR_11_z","pc_CORR_residual_z","pc_ZETA_00_low","pc_ZETA_00_high","pc_ZETA_11_low","pc_ZETA_11_high","pc_ZETA_residual_low","pc_ZETA_residual_high","pc_CI95_00_low","pc_CI95_00_high","pc_CI95_11_low","pc_CI95_11_high","pc_CI95_residual_low","pc_CI95_residual_high","test_00","test_11","test_Res","uni_bi"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:44 PM","hrs","b1","female","aehplus","muscle","memory","grip","delayedrecall",TRUE,641,5,NA,40,-13826.331,27732.662,27911.184,27784.186,27738.1286666667,"b1_female_aehplus_muscle_memory_hand_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.766,1.368,0.575,0.022,0.092,0.811,-0.119,0.254,0.639,-0.039,0.476,0.935,0.078,0.06,0.191,131.156,63.823,0.04,4.959,2.518,0.049,-24.339,13.076,0.063,16.316,6.49,0.012,0.042,0.415,0.92,0.001,0.123,0.996,-0.003,0.399,0.995,16.316,6.49,0.012,23.637,0.893,0,-0.264,0.188,0.161,3.687,0.144,0,-0.023,0.026,0.381,"b1_female_aehplus_muscle_memory_hand_delayedrecall",0.326369858285138,0.31241050341769,0.00478058347634224,2,0.338759925270567,0.323214403176596,0.0047806198952921,0.261164208054721,0.416355642486413,0.24561868596075,0.400810120392442,-0.0728150973205541,0.0823763371111383,0.255384132974228,0.393855822765108,0.240795764390503,0.380641919237589,-0.0726866801820748,0.0821905100380488,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:46 PM","hrs","b1","male","aehplus","muscle","memory","grip","delayedrecall",TRUE,507,5,NA,40,-11474.805,23029.611,23198.751,23071.787,23036.6496266094,"b1_male_aehplus_muscle_memory_hand_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",-0.106,6.357,0.987,-0.01,0.231,0.967,0.12,1.19,0.919,0.077,1.134,0.946,-0.522,0.328,0.111,201.444,153.82,0.19,7.132,5.734,0.214,-34.376,30.935,0.266,23.335,15.476,0.132,0.018,2.152,0.993,0.001,0.223,0.997,-0.002,0.445,0.996,23.335,15.476,0.132,35.242,1.11,0,-0.551,0.217,0.011,2.985,0.197,0,-0.054,0.035,0.121,"b1_male_aehplus_muscle_memory_hand_delayedrecall",-0.0556663113665202,-0.11841162271855,-0.0223698307263767,2,-0.0557239169495037,-0.1189697545258,-0.0223735632044118,-0.143027651718137,0.0315798178191294,-0.206273489294433,-0.0316660197571668,-0.109677297973045,0.0649301715642213,-0.142060265613585,0.031569323980165,-0.203396878008802,-0.0316554397728724,-0.109239630337315,0.0648390782199476,"-","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:59 PM","hrs","b1","female","aehplus","pulmonary","memory","pek","delayedrecall",TRUE,715,5,NA,40,-23526.049,47132.097,47314.988,47187.978,47136.9634688427,"b1_female_aehplus_pulmonary_memory_peak_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",17.136,612.897,0.978,0.186,14.806,0.99,-0.137,119.567,0.999,0.485,102.729,0.996,0.539,0.432,0.213,4718.391,267.338,0,184.553,27.378,0,-309.322,50.851,0,271.731,21.588,0,0.227,5.687,0.968,0.007,0.292,0.98,-0.024,0.759,0.975,271.731,21.588,0,255.963,6.173,0,-1.145,1.456,0.432,3.598,0.174,0,-0.032,0.033,0.331,"b1_female_aehplus_pulmonary_memory_peak_delayedrecall",0.52359990789127,0.163645237065333,0.00198357934869411,2,0.581286571662695,0.16512996101772,0.00198358195022212,0.507833815877527,0.654739327447864,0.091677205232552,0.238582716802889,-0.0714691738349461,0.0754363377353904,0.468255696052288,0.574851805799712,0.0914212256651124,0.234156620327774,-0.0713477375047826,0.0752935689980916,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:00 PM","hrs","b1","male","aehplus","pulmonary","memory","pek","delayedrecall",TRUE,535,5,NA,40,-18275.411,36630.821,36802.112,36675.139,36637.4606761134,"b1_male_aehplus_pulmonary_memory_peak_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",10.492,594.085,0.986,0.104,7.307,0.989,1.433,108.399,0.989,1.423,37.563,0.97,0.315,0.577,0.585,11890.916,755.252,0,425.105,61.668,0,-631.073,125.645,0,414.922,32.934,0,0.238,6.461,0.971,0.011,0.442,0.98,-0.035,0.968,0.971,414.922,32.934,0,339.427,14.452,0,-5.932,3.403,0.081,3.001,0.195,0,-0.056,0.034,0.095,"b1_male_aehplus_pulmonary_memory_peak_delayedrecall",0.197225083137794,0.0480937775373894,0.000759178833612101,2,0.199843677696464,0.0481309095689599,0.000759178979463691,0.114868462151319,0.284818893241609,-0.0368443059761851,0.133106125114105,-0.0842160365656812,0.0857343945246086,0.114365893758926,0.277359184140052,-0.0368276429403143,0.132325565315263,-0.0840175034945474,0.0855249499930525,"ERROR","-",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:13 PM","hrs","b1","female","aehplus","walking","memory","gait","delayedrecall",TRUE,370,5,NA,40,-4006.373,8092.746,8249.286,8122.379,8102.71560486322,"b1_female_aehplus_walking_memory_gait_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.028,0.248,0.91,0.001,0.006,0.903,-0.003,0.049,0.952,0,0.051,0.994,0.021,0.013,0.105,0.001,0.012,0.912,0,0.001,0.95,0,0.001,0.892,0.892,0.05,0,1.979,0.222,0,0.039,0.007,0,-0.108,0.03,0,0.892,0.05,0,0.788,0.025,0,-0.027,0.006,0,3.945,0.191,0,-0.009,0.032,0.791,"b1_female_aehplus_walking_memory_gait_delayedrecall",0.629412167505797,Inf,0.023542600896861,2,0.740442056961247,NA,0.0235469518712328,0.638132769762465,0.84275134416003,NA,NA,-0.0787623353275496,0.125856239070015,0.563626836280453,0.687263607246293,NA,NA,-0.0785998709292441,0.125195910288572,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:15 PM","hrs","b1","male","aehplus","walking","memory","gait","delayedrecall",TRUE,318,5,NA,40,-3112.582,6305.163,6455.645,6328.774,6317.00415523466,"b1_male_aehplus_walking_memory_gait_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.012,0.23,0.957,0,0.017,0.996,0.001,0.037,0.968,0.007,0.106,0.95,0.004,0.013,0.75,0.001,0.007,0.881,0,0.001,0.927,0,0.002,0.978,0.732,0.037,0,1.487,0.17,0,0.019,0.005,0,-0.056,0.022,0.012,0.732,0.037,0,0.856,0.036,0,-0.018,0.011,0.114,3.366,0.269,0,-0.108,0.045,0.016,"b1_male_aehplus_walking_memory_gait_delayedrecall",0.311190092556699,NA,0.00546448087431694,2,0.321862567375116,NA,0.00546453526609513,0.21143110733187,0.432294027418361,NA,NA,-0.10496692477715,0.115895995309341,0.208335898850895,0.407236676676112,NA,NA,-0.10458310580339,0.11537986772401,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:48 PM","hrs","b1","female","aehplus","muscle","memory","grip","wordlistimmed",TRUE,641,5,NA,40,-13746.436,27572.871,27751.392,27624.395,27578.3376666667,"b1_female_aehplus_muscle_memory_hand_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.791,2.821,0.779,0.02,0.136,0.882,-0.112,0.476,0.813,-0.066,0.719,0.927,0.074,0.079,0.352,131.74,64.08,0.04,5.001,2.528,0.048,-24.45,13.12,0.062,15.483,6.283,0.014,0.03,0.839,0.972,0.001,0.089,0.995,-0.002,0.181,0.989,15.483,6.283,0.014,23.638,0.893,0,-0.265,0.189,0.16,4.826,0.118,0,-0.07,0.021,0.001,"b1_female_aehplus_muscle_memory_hand_immediaterecall",0.397884505036589,0.282814432445305,0.0047794355099141,2,0.421133012975852,0.290738550142199,0.00477947190263405,0.343537295760006,0.498728730191698,0.213142832926353,0.368334267358045,-0.0728162453132122,0.0823751891184803,0.330631678833812,0.461116782844644,0.209972743649751,0.35253385472761,-0.0726878221093865,0.082189369800295,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:50 PM","hrs","b1","male","aehplus","muscle","memory","grip","wordlistimmed",TRUE,507,5,NA,40,-11450.017,22980.034,23149.174,23022.209,22987.0726266094,"b1_male_aehplus_muscle_memory_hand_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",-0.596,6.503,0.927,-0.025,0.201,0.901,0.202,1.09,0.853,0.171,1.079,0.874,-0.479,0.298,0.109,201.85,154.057,0.19,7.164,5.745,0.212,-34.442,30.974,0.266,22.692,15.068,0.132,0.02,2.239,0.993,0.001,0.2,0.996,-0.003,0.388,0.995,22.692,15.068,0.132,35.243,1.11,0,-0.552,0.217,0.011,4.332,0.171,0,-0.107,0.031,0.001,"b1_male_aehplus_muscle_memory_hand_immediaterecall",-0.296631238496921,-0.295367168753473,-0.0211087607967566,2,-0.305821758368228,-0.304436300769658,-0.0211118968475631,-0.393125493136861,-0.218518023599595,-0.391740035538291,-0.217132566001025,-0.108415631616196,0.06619183792107,-0.374051556651321,-0.215105107904828,-0.372859327663729,-0.213783362657241,-0.107992848644756,0.0660953369624398,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:02 PM","hrs","b1","female","aehplus","pulmonary","memory","pek","wordlistimmed",TRUE,715,5,NA,40,-23535.026,47150.052,47332.943,47205.933,47154.9184688427,"b1_female_aehplus_pulmonary_memory_peak_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",15.843,881.386,0.986,0.081,57.205,0.999,-0.739,166.594,0.996,0.395,399.286,0.999,0.563,0.47,0.23,4719.621,267.351,0,185.161,28.201,0,-309.92,51.26,0,270.453,21.517,0,0.21,5.451,0.969,0.007,0.299,0.981,-0.027,0.77,0.972,270.453,21.517,0,255.961,6.173,0,-1.143,1.458,0.433,4.761,0.168,0,-0.072,0.031,0.019,"b1_female_aehplus_pulmonary_memory_peak_immediaterecall",0.503238909304825,0.0711477614184688,0.00208169256765501,2,0.553634062192781,0.0712681774416549,0.00208169557462885,0.480181306407613,0.627086817977949,-0.00218457834351338,0.144720933226823,-0.0713710602105394,0.0755344513597971,0.446388800753818,0.55604300260209,-0.0021845748683055,0.143718974222175,-0.0712501226447375,0.0753911256834416,"ERROR","-",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:03 PM","hrs","b1","male","aehplus","pulmonary","memory","pek","wordlistimmed",TRUE,535,5,NA,40,-18293.092,36666.184,36837.474,36710.501,36672.8236761134,"b1_male_aehplus_pulmonary_memory_peak_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",17.286,699.596,0.98,0.094,6.592,0.989,0.651,121.287,0.996,1.139,29.519,0.969,1.165,0.48,0.015,11892.388,754.753,0,425.878,61.723,0,-631.819,125.753,0,413.431,32.817,0,0.248,6.755,0.971,0.011,0.438,0.98,-0.034,0.976,0.972,413.431,32.817,0,339.428,14.447,0,-5.933,3.405,0.081,4.292,0.166,0,-0.105,0.031,0.001,"b1_male_aehplus_pulmonary_memory_peak_immediaterecall",0.318298163781037,0.0434299078710285,0.00281788254872034,2,0.329752270970495,0.0434572440206294,0.0028178900071857,0.24477705542535,0.41472748651564,-0.0415179715245155,0.128432459565774,-0.0821573255379592,0.0877931055523306,0.240002773260717,0.392479348811337,-0.0414941325380882,0.127730927829993,-0.0819729740370405,0.0875682398927142,"ERROR","-",FALSE,"b"
