"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","LL","aic","bic","adj_bic","aaic"
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:20 PM",TRUE,"female","empty","muscle",24.506,1.115,NA,NA,12.182,0.91,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20472.8,40951.6,40967.696,40958.165,40951.6152284264
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:20 PM",TRUE,"male","empty","muscle",50.696,2.285,NA,NA,25.076,1.077,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-21268.258,42542.516,42558.433,42548.903,42542.5321616162
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:21 PM",TRUE,"female","age","muscle",28.346,1.674,0.103,0.03,9.839,0.753,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1580,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_female_age_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20107.382,40230.765,40273.686,40248.272,40230.8566613622
"u1","0.1",NA,NA,NA,"habc","02/23/2015"," 1:22 PM",TRUE,"male","age","muscle",53.856,2.495,0.122,0.035,18.737,0.979,"noCog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,"to_do",NA,8,NA,"Mplus VERSION 7.2 (Mac)","u1_male_age_muscle_noCog.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-20645.867,41307.734,41350.181,41324.767,41307.8312972973
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:45 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"executive",2.758,0.199,NA,NA,2.505,0.109,NA,NA,NA,NA,NA,NA,1407,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-9150.481,18306.963,18322.711,18313.181,18306.980106201
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:34 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",67.631,4.257,NA,NA,37.055,2.011,NA,NA,NA,NA,NA,NA,1584,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-23499.704,47005.408,47021.511,47011.981,47005.4231898734
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:53 PM",TRUE,"female","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.269,6.414,NA,NA,53.295,2.4,NA,NA,NA,NA,NA,NA,1576,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_female_empty_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-19816.333,39638.667,39654.755,39645.224,39638.6822671756
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:46 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"executive",2.841,0.19,NA,NA,3.874,0.148,NA,NA,NA,NA,NA,NA,1284,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_executive.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-8815.431,17636.863,17652.336,17642.807,17636.88175
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:35 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"mental",73.126,5.168,NA,NA,35.472,2.263,NA,NA,NA,NA,NA,NA,1486,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_mental.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-21031.049,42068.099,42084.01,42074.48,42068.115194332
"u0","0.1",NA,NA,NA,"habc","02/23/2015"," 1:53 PM",TRUE,"male","empty","noPhys",NA,NA,NA,NA,NA,NA,"speed",160.663,6.159,NA,NA,48.886,2.387,NA,NA,NA,NA,NA,NA,1473,"to_do",NA,3,NA,"Mplus VERSION 7.2 (Mac)","u0_male_empty_noPhys_speed.out","??",NA,NA,"    ""/Users/qingqingzhang/Dropbox/IALSA/Data/HABC-9999.dta.dat""",-17387.131,34780.262,34796.148,34786.617,34780.2783376447
