"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:37 PM","hrs","b1","female","aeh","muscle","memory","hand","delayedrecall",TRUE,641,5,NA,28,-13840.986,27737.972,27862.937,27774.039,27740.6255947712,"b1_female_aeh_muscle_memory_hand_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.924,1.438,0.52,0.022,0.093,0.816,-0.109,0.273,0.69,-0.046,0.517,0.929,0.093,0.061,0.126,132.291,64.43,0.04,4.97,2.529,0.049,-24.389,13.155,0.064,16.341,6.455,0.011,0.052,0.316,0.868,0.001,0.129,0.996,-0.002,0.483,0.996,16.341,6.455,0.011,22.564,0.894,0,-0.254,0.189,0.18,3.523,0.131,0,-0.039,0.023,0.095
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:39 PM","hrs","b1","female","aeh","muscle","memory","hand","immediaterecall",TRUE,641,5,NA,28,-13759.05,27574.099,27699.064,27610.166,27576.7525947712,"b1_female_aeh_muscle_memory_hand_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.906,2.828,0.749,0.02,0.142,0.887,-0.105,0.483,0.828,-0.073,0.739,0.922,0.079,0.081,0.328,132.887,64.694,0.04,5.012,2.535,0.048,-24.503,13.197,0.063,15.491,6.293,0.014,0.035,0.852,0.967,0.001,0.089,0.995,-0.002,0.183,0.99,15.491,6.293,0.014,22.564,0.894,0,-0.255,0.19,0.18,4.716,0.103,0,-0.083,0.019,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:40 PM","hrs","b1","female","aeh","muscle","mental","hand","serial7",TRUE,641,5,NA,28,-14707.107,29470.213,29595.178,29506.28,29472.8665947712,"b1_female_aeh_muscle_mental_hand_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.358,1.524,0.814,-0.037,0.122,0.762,0.221,0.401,0.581,0.009,0.479,0.985,0.006,0.094,0.953,133.367,64.766,0.039,5.043,2.528,0.046,-24.581,13.19,0.062,14.778,6.171,0.017,0.024,0.744,0.974,0.001,0.104,0.994,0,0.095,0.997,14.778,6.171,0.017,22.57,0.893,0,-0.262,0.187,0.162,2.283,0.142,0,-0.109,0.02,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:42 PM","hrs","b1","female","aeh","muscle","mental","hand","tics",TRUE,641,5,NA,28,-12559.695,25175.39,25300.355,25211.457,25178.0435947712,"b1_female_aeh_muscle_mental_hand_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",1.258,0.198,0,0.063,0.114,0.581,-0.262,0.315,0.406,-0.205,0.61,0.736,0.253,0.32,0.428,129.342,63.228,0.041,4.754,2.425,0.05,-23.821,12.909,0.065,20.525,8.522,0.016,0.035,0.913,0.969,0.002,0.171,0.99,-0.005,0.284,0.987,20.525,8.522,0.016,22.558,0.891,0,-0.249,0.188,0.185,8.361,0.23,0,-0.085,0.041,0.037
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:43 PM","hrs","b1","female","aeh","pulmonary","memory","peak","delayedrecall",TRUE,715,5,NA,28,-23546.06,47148.121,47276.145,47187.237,47150.4883469388,"b1_female_aeh_pulmonary_memory_peak_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",16.562,34.725,0.633,0.201,12.735,0.987,0.1,105.327,0.999,0.621,82.625,0.994,0.533,0.439,0.225,4937.577,276.529,0,185.492,27.681,0,-308.549,53.512,0,271.793,21.602,0,0.221,4.333,0.959,0.007,0.293,0.98,-0.023,0.699,0.974,271.793,21.602,0,248.501,5.605,0,-2.23,1.304,0.087,3.457,0.125,0,-0.052,0.107,0.629
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:44 PM","hrs","b1","female","aeh","pulmonary","memory","peak","immediaterecall",TRUE,715,5,NA,28,-23554.923,47165.847,47293.871,47204.964,47168.2143469388,"b1_female_aeh_pulmonary_memory_peak_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",15.928,870.744,0.985,0.096,32.231,0.998,-0.637,149.534,0.997,0.481,244.441,0.998,0.548,0.416,0.188,4938.799,275.673,0,186.114,28.215,0,-309.14,53.824,0,270.495,21.523,0,0.209,9.07,0.982,0.007,0.291,0.981,-0.026,0.701,0.97,270.495,21.523,0,248.5,5.611,0,-2.23,1.304,0.087,4.654,0.102,0,-0.087,0.262,0.741
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:46 PM","hrs","b1","female","aeh","pulmonary","mental","peak","serial7",TRUE,715,5,NA,28,-25159.166,50374.332,50502.356,50413.449,50376.6993469388,"b1_female_aeh_pulmonary_mental_peak_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",7.262,312.344,0.981,0.203,16.586,0.99,1.112,71.22,0.988,0.007,74.589,1,0.202,0.299,0.5,4967.406,277.292,0,200.951,29.545,0,-323.221,55.429,0,240.554,19.276,0,0.137,3.524,0.969,0.006,0.264,0.983,-0.018,0.58,0.976,240.554,19.276,0,248.483,5.602,0,-2.209,1.327,0.096,2.246,0.129,0,-0.113,0.017,0
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:47 PM","hrs","b1","female","aeh","pulmonary","mental","peak","tics",TRUE,715,5,NA,28,-21250.665,42557.329,42685.353,42596.446,42559.6963469388,"b1_female_aeh_pulmonary_mental_peak_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\PEAK.dat""",12.05,5.034,0.017,0.386,2.303,0.867,-2.489,62.553,0.968,-0.207,21.466,0.992,0.823,1.942,0.672,4880.961,275.289,0,158.855,23.557,0,-282.61,49.726,0,333.651,26.25,0,0.274,4.549,0.952,0.012,0.343,0.973,-0.045,0.684,0.948,333.651,26.25,0,248.537,5.6,0,-2.276,1.267,0.072,8.371,0.177,0,-0.135,0.063,0.032
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:48 PM","hrs","b1","female","aeh","walking","memory","gait","delayedrecall",TRUE,370,5,NA,28,-4015.272,8086.545,8196.123,8107.288,8091.30746334311,"b1_female_aeh_walking_memory_gait_delayedrecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.033,0.219,0.881,0.001,0.009,0.936,-0.003,0.047,0.955,0.001,0.099,0.996,0.022,0.014,0.113,0.001,0.011,0.903,0,0.001,0.949,0,0.002,0.923,0.892,0.05,0,2.025,0.22,0,0.041,0.007,0,-0.11,0.03,0,0.892,0.05,0,0.758,0.022,0,-0.026,0.005,0,3.795,0.179,0,-0.029,0.03,0.338
"Mplus VERSION 7.11","0.1","07/15/2015"," 1:49 PM","hrs","b1","female","aeh","walking","memory","gait","immediaterecall",TRUE,370,5,NA,28,-3532.24,7120.479,7230.057,7141.223,7125.24146334311,"b1_female_aeh_walking_memory_gait_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.034,0.072,0.637,0.001,0.006,0.926,-0.001,0.024,0.954,-0.002,0.065,0.979,0.011,0.01,0.27,0.002,0.006,0.793,0,0.001,0.948,0,0.002,0.939,0.635,0.031,0,1.16,0.137,0,0.021,0.005,0,-0.047,0.018,0.009,0.635,0.031,0,0.759,0.022,0,-0.027,0.007,0,5.014,0.139,0,-0.074,0.024,0.002
