"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval"
"Mplus VERSION 5.21","0.1","02/24/2015","11:59 PM","b1_female_aeh_grip_block.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_block.out","octo","b1","female","aeh","grip","block",275,5,NA,29,-4186.72,8431.441,8536.327,8444.374,8438.54304081633,TRUE,TRUE,NA,0,3.199,0.842,3.799,0,0.05,0.016,3.219,0.001,-0.123,0.135,-0.912,0.362,0.02,0.12,0.167,0.868,0.153,0.201,0.76,0.447,3.267,0.463,7.057,0,0.018,0.009,2.011,0.044,-0.044,0.043,-1.031,0.303,1.269,0.126,10.076,0,30.803,3.288,9.368,0,0.189,0.078,2.416,0.016,-0.952,0.392,-2.431,0.015,10.853,0.833,13.03,0,8.981,0.218,41.17,0,-0.336,0.031,-10.83,0,14.416,0.661,21.822,0,-0.279,0.09,-3.112,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.045,-3.324,0.001,-0.004,0.007,-0.544,0.587,-0.552,0.156,-3.542,0,0.007,0.022,0.343,0.731,0.134,0.071,1.882,0.06,-0.007,0.011,-0.663,0.507,0.688,0.211,3.26,0.001,-0.023,0.035,-0.662,0.508,0.091,0.023,3.958,0,-0.002,0.003,-0.655,0.512,-0.009,0.068,-0.132,0.895,0.012,0.008,1.422,0.155
"Mplus VERSION 5.21","0.1","02/24/2015","11:54 PM","b1_female_aeh_grip_digitbackward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_digitbackward.out","octo","b1","female","aeh","grip","digitbackward",276,5,NA,29,-3271.216,6600.432,6705.424,6613.47,6607.50517073171,TRUE,TRUE,NA,0,0.015,0.144,0.104,0.917,-0.004,0.004,-0.93,0.352,0.053,0.026,2.02,0.043,0.031,0.02,1.551,0.121,0.06,0.06,0.995,0.32,3.236,0.459,7.044,0,0.017,0.009,1.918,0.055,-0.035,0.042,-0.818,0.413,1.271,0.127,10.006,0,0.546,0.159,3.437,0.001,0.004,0.005,0.743,0.457,-0.021,0.022,-0.979,0.328,1.163,0.108,10.739,0,8.99,0.217,41.356,0,-0.334,0.031,-10.709,0,3.797,0.124,30.715,0,-0.089,0.024,-3.755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151,0.045,-3.374,0.001,-0.003,0.007,-0.462,0.644,-0.095,0.027,-3.544,0,0.009,0.006,1.459,0.145,0.14,0.071,1.954,0.051,-0.008,0.011,-0.78,0.435,0.094,0.035,2.706,0.007,0.005,0.007,0.774,0.439,0.09,0.023,3.913,0,-0.002,0.003,-0.643,0.52,-0.004,0.013,-0.322,0.747,0.001,0.003,0.49,0.624
"Mplus VERSION 5.21","0.1","02/24/2015","11:53 PM","b1_female_aeh_grip_digitforward.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_digitforward.out","octo","b1","female","aeh","grip","digitforward",276,5,NA,29,-3028.016,6114.032,6219.024,6127.069,6121.10517073171,TRUE,TRUE,NA,0,-0.069,0.117,-0.592,0.554,0.001,0.003,0.439,0.661,0.008,0.022,0.378,0.706,0.011,0.016,0.719,0.472,0.04,0.043,0.937,0.349,3.238,0.46,7.039,0,0.017,0.009,1.907,0.056,-0.036,0.042,-0.867,0.386,1.276,0.128,9.936,0,0.544,0.073,7.451,0,0.006,0.003,1.834,0.067,-0.037,0.014,-2.606,0.009,0.613,0.047,13.105,0,8.988,0.218,41.155,0,-0.331,0.031,-10.591,0,5.659,0.106,53.554,0,-0.065,0.018,-3.642,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152,0.045,-3.362,0.001,-0.003,0.008,-0.462,0.644,-0.076,0.021,-3.546,0,0.002,0.004,0.442,0.659,0.14,0.071,1.961,0.05,-0.009,0.011,-0.838,0.402,0.126,0.027,4.734,0,-0.009,0.005,-1.801,0.072,0.09,0.023,3.931,0,-0.002,0.003,-0.62,0.535,0.008,0.011,0.718,0.473,-0.002,0.002,-1.004,0.316
"Mplus VERSION 5.21","0.1","02/25/2015","12:06 AM","b1_female_aeh_grip_digitsymbol.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_digitsymbol.out","octo","b1","female","aeh","grip","digitsymbol",272,5,NA,29,-4220.479,8498.958,8603.526,8511.575,8506.14808264463,TRUE,TRUE,NA,0,2.378,1.289,1.845,0.065,0.01,0.025,0.402,0.688,0.073,0.25,0.291,0.771,0.283,0.158,1.791,0.073,0.713,0.329,2.169,0.03,3.235,0.46,7.027,0,0.017,0.009,1.89,0.059,-0.039,0.042,-0.925,0.355,1.276,0.127,10.076,0,67.009,7.929,8.451,0,0.601,0.158,3.809,0,-2.399,0.855,-2.806,0.005,28.045,2.382,11.773,0,8.997,0.218,41.302,0,-0.337,0.031,-10.875,0,28.704,1.08,26.585,0,-0.524,0.159,-3.289,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151,0.045,-3.367,0.001,-0.004,0.007,-0.478,0.633,-0.818,0.283,-2.891,0.004,0.015,0.043,0.35,0.726,0.14,0.072,1.952,0.051,-0.009,0.011,-0.859,0.39,1.585,0.365,4.345,0,-0.022,0.06,-0.369,0.712,0.09,0.023,3.915,0,-0.002,0.003,-0.53,0.596,0.075,0.118,0.633,0.527,0.01,0.021,0.474,0.636
"Mplus VERSION 5.21","0.1","02/25/2015","12:05 AM","b1_female_aeh_grip_figurelogic.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_figurelogic.out","octo","b1","female","aeh","grip","figurelogic",274,5,NA,29,-3703.624,7465.248,7570.028,7478.076,7472.37914754098,TRUE,TRUE,NA,0,1.594,0.48,3.322,0.001,0.024,0.014,1.709,0.088,-0.126,0.109,-1.159,0.246,-0.041,0.062,-0.662,0.508,0.225,0.174,1.296,0.195,3.237,0.46,7.037,0,0.018,0.009,1.977,0.048,-0.037,0.042,-0.886,0.376,1.268,0.126,10.047,0,7.947,1.211,6.565,0,0.103,0.049,2.114,0.034,-0.415,0.191,-2.178,0.029,7.948,0.59,13.473,0,8.992,0.217,41.362,0,-0.333,0.032,-10.512,0,16.735,0.402,41.612,0,-0.079,0.077,-1.027,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.152,0.045,-3.371,0.001,-0.004,0.008,-0.513,0.608,-0.272,0.095,-2.845,0.004,-0.001,0.019,-0.053,0.958,0.138,0.072,1.929,0.054,-0.008,0.011,-0.743,0.457,0.221,0.122,1.811,0.07,-0.014,0.03,-0.486,0.627,0.089,0.023,3.891,0,-0.002,0.003,-0.661,0.509,-0.014,0.047,-0.305,0.76,0.005,0.009,0.565,0.572
"Mplus VERSION 5.21","0.1","02/25/2015","12:08 AM","b1_female_aeh_grip_mirrecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_mirrecall.out","octo","b1","female","aeh","grip","mirrecall",273,5,NA,29,-3500.847,7059.694,7164.368,7072.417,7066.85449382716,TRUE,TRUE,NA,0,0.441,0.229,1.925,0.054,0.026,0.008,3.299,0.001,-0.022,0.059,-0.38,0.704,0.048,0.045,1.079,0.281,0.069,0.072,0.97,0.332,3.262,0.462,7.066,0,0.021,0.009,2.178,0.029,-0.049,0.042,-1.162,0.245,1.259,0.125,10.083,0,2.406,0.484,4.971,0,0.091,0.021,4.3,0,0,0.067,0.003,0.997,1.851,0.168,11.041,0,8.988,0.218,41.245,0,-0.334,0.031,-10.771,0,7.79,0.185,42.124,0,-0.06,0.049,-1.209,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148,0.045,-3.256,0.001,-0.005,0.007,-0.732,0.464,-0.155,0.05,-3.12,0.002,-0.018,0.013,-1.378,0.168,0.138,0.072,1.918,0.055,-0.007,0.011,-0.682,0.495,0.029,0.072,0.404,0.686,-0.005,0.019,-0.281,0.779,0.091,0.023,3.925,0,-0.002,0.003,-0.556,0.578,-0.015,0.021,-0.711,0.477,0.004,0.006,0.729,0.466
"Mplus VERSION 5.21","0.1","02/24/2015","11:57 PM","b1_female_aeh_grip_proserecall.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_grip_proserecall.out","octo","b1","female","aeh","grip","proserecall",273,5,NA,29,-3682.623,7423.245,7527.92,7435.968,7430.40549382716,TRUE,TRUE,NA,0,0.652,0.401,1.624,0.104,0.013,0.013,0.957,0.339,0.001,0.073,0.014,0.989,0.062,0.076,0.815,0.415,0.131,0.161,0.818,0.413,3.244,0.461,7.043,0,0.017,0.009,1.926,0.054,-0.039,0.042,-0.919,0.358,1.273,0.127,10.004,0,7.975,1.017,7.845,0,0.08,0.032,2.467,0.014,-0.392,0.141,-2.777,0.005,4.346,0.379,11.454,0,8.99,0.218,41.282,0,-0.335,0.031,-10.771,0,11.29,0.339,33.274,0,-0.099,0.053,-1.855,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.045,-3.325,0.001,-0.005,0.007,-0.613,0.54,-0.279,0.084,-3.327,0.001,0.025,0.015,1.644,0.1,0.141,0.072,1.96,0.05,-0.009,0.011,-0.808,0.419,0.466,0.105,4.431,0,-0.046,0.02,-2.335,0.02,0.091,0.023,3.959,0,-0.002,0.003,-0.641,0.522,0.011,0.038,0.293,0.77,0.006,0.007,0.776,0.438
"Mplus VERSION 5.21","0.1","03/03/2015"," 9:00 PM","b1_female_aeh_muscle_global_grip_mmse.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_muscle_global_grip_mmse.out","octo","b1","female","aeh","grip","mmse",276,5,NA,29,-4108.074,8274.147,8379.139,8287.185,8281.22017073171,TRUE,TRUE,NA,0,0.154,0.291,0.531,0.596,0.069,0.025,2.789,0.005,0.164,0.094,1.749,0.08,0.053,0.058,0.915,0.36,0.381,0.194,1.968,0.049,3.293,0.46,7.163,0,0.025,0.011,2.235,0.025,-0.04,0.044,-0.91,0.363,1.248,0.123,10.142,0,2.13,0.575,3.708,0,0.339,0.088,3.867,0,0.309,0.184,1.677,0.094,4.477,0.677,6.616,0,8.983,0.22,40.871,0,-0.332,0.031,-10.601,0,28.851,0.213,135.295,0,-0.274,0.075,-3.672,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148,0.046,-3.216,0.001,-0.009,0.008,-1.079,0.281,-0.238,0.051,-4.661,0,-0.052,0.021,-2.499,0.012,0.136,0.072,1.887,0.059,-0.012,0.011,-1.085,0.278,0.248,0.059,4.214,0,0.012,0.026,0.454,0.65,0.09,0.023,3.888,0,-0.003,0.003,-0.877,0.38,0.013,0.026,0.49,0.624,-0.005,0.009,-0.578,0.563
"Mplus VERSION 5.21","0.1","03/03/2015"," 8:50 PM","b1_female_aeh_muscle_knowledge_grip_information.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_muscle_knowledge_grip_information.out","octo","b1","female","aeh","grip","information",275,5,NA,29,-4647.889,9353.777,9458.664,9366.71,9360.87904081633,TRUE,TRUE,NA,0,2.836,1.145,2.478,0.013,0.055,0.023,2.431,0.015,0.072,0.151,0.48,0.631,0.238,0.18,1.325,0.185,-0.078,0.216,-0.364,0.716,3.247,0.46,7.052,0,0.018,0.009,1.985,0.047,-0.044,0.043,-1.019,0.308,1.268,0.125,10.117,0,77.132,8.655,8.912,0,0.347,0.097,3.568,0,0.91,0.676,1.346,0.178,16.493,1.419,11.625,0,8.988,0.218,41.226,0,-0.336,0.031,-10.757,0,30.469,1.008,30.226,0,-0.334,0.106,-3.152,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.149,0.045,-3.303,0.001,-0.005,0.008,-0.655,0.512,-0.681,0.229,-2.972,0.003,-0.035,0.029,-1.209,0.227,0.136,0.071,1.901,0.057,-0.006,0.011,-0.561,0.575,2.138,0.239,8.963,0,-0.012,0.036,-0.32,0.749,0.091,0.023,3.952,0,-0.003,0.003,-0.91,0.363,0.01,0.129,0.081,0.935,0.013,0.015,0.898,0.369
"Mplus VERSION 5.21","0.1","03/03/2015"," 8:51 PM","b1_female_aeh_muscle_knowledge_grip_synonyms.out"," C:\Users\novalis\Desktop\IALSA\octomult_12aug2010.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/octo/physical-cognitive/combined/b1_female_aeh_muscle_knowledge_grip_synonyms.out","octo","b1","female","aeh","grip","synonyms",273,5,NA,29,-3685.704,7429.407,7534.082,7442.13,7436.56749382716,TRUE,TRUE,NA,0,0.866,0.686,1.262,0.207,0.04,0.019,2.058,0.04,-0.069,0.129,-0.535,0.593,0.019,0.092,0.21,0.834,-0.041,0.172,-0.236,0.813,3.245,0.458,7.085,0,0.017,0.009,1.938,0.053,-0.039,0.042,-0.925,0.355,1.272,0.126,10.08,0,17.437,2.191,7.958,0,0.192,0.066,2.918,0.004,-0.195,0.291,-0.672,0.502,6.778,0.577,11.746,0,8.986,0.218,41.226,0,-0.335,0.031,-10.887,0,17.325,0.559,31.013,0,-0.084,0.085,-0.992,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15,0.045,-3.337,0.001,-0.004,0.007,-0.483,0.629,-0.145,0.129,-1.119,0.263,-0.002,0.02,-0.08,0.936,0.139,0.072,1.946,0.052,-0.008,0.011,-0.765,0.444,1.273,0.139,9.174,0,-0.011,0.03,-0.369,0.712,0.09,0.023,3.908,0,-0.002,0.003,-0.593,0.553,0.105,0.07,1.501,0.133,0.003,0.011,0.24,0.81
