software,version,date,time,output_file,data_file,file_path,study_name,model_number,subgroup,model_type,subject_count,wave_count,datapoint_count,parameter_count,LL,aic,bic,adj_bic,aaic,has_converged,trust_all,mistrust,covar_covered,ab_TAU_00_est,ab_TAU_00_se,ab_TAU_00_wald,ab_TAU_00_pval,ab_TAU_11_est,ab_TAU_11_se,ab_TAU_11_wald,ab_TAU_11_pval,ab_TAU_01_est,ab_TAU_01_se,ab_TAU_01_wald,ab_TAU_01_pval,ab_TAU_10_est,ab_TAU_10_se,ab_TAU_10_wald,ab_TAU_10_pval,ab_SIGMA_est,ab_SIGMA_se,ab_SIGMA_wald,ab_SIGMA_pval,aa_TAU_00_est,aa_TAU_00_se,aa_TAU_00_wald,aa_TAU_00_pval,aa_TAU_11_est,aa_TAU_11_se,aa_TAU_11_wald,aa_TAU_11_pval,aa_TAU_01_est,aa_TAU_01_se,aa_TAU_01_wald,aa_TAU_01_pval,a_SIGMA_est,a_SIGMA_se,a_SIGMA_wald,a_SIGMA_pval,bb_TAU_00_est,bb_TAU_00_se,bb_TAU_00_wald,bb_TAU_00_pval,bb_TAU_11_est,bb_TAU_11_se,bb_TAU_11_wald,bb_TAU_11_pval,bb_TAU_10_est,bb_TAU_10_se,bb_TAU_10_wald,bb_TAU_10_pval,b_SIGMA_est,b_SIGMA_se,b_SIGMA_wald,b_SIGMA_pval,a_GAMMA_00_est,a_GAMMA_00_se,a_GAMMA_00_wald,a_GAMMA_00_pval,a_GAMMA_10_est,a_GAMMA_10_se,a_GAMMA_10_wald,a_GAMMA_10_pval,b_GAMMA_00_est,b_GAMMA_00_se,b_GAMMA_00_wald,b_GAMMA_00_pval,b_GAMMA_10_est,b_GAMMA_10_se,b_GAMMA_10_wald,b_GAMMA_10_pval,R_IAIB_est,R_IAIB_se,R_IAIB_wald,R_IAIB_pval,R_SASB_est,R_SASB_se,R_SASB_wald,R_SASB_pval,R_RES_AB_est,R_RES_AB_se,R_RES_AB_wald,R_RES_AB_pval,a_GAMMA_01_est,a_GAMMA_01_se,a_GAMMA_01_wald,a_GAMMA_01_pval,a_GAMMA_11_est,a_GAMMA_11_se,a_GAMMA_11_wald,a_GAMMA_11_pval,b_GAMMA_01_est,b_GAMMA_01_se,b_GAMMA_01_wald,b_GAMMA_01_pval,b_GAMMA_11_est,b_GAMMA_11_se,b_GAMMA_11_wald,b_GAMMA_11_pval,a_GAMMA_02_est,a_GAMMA_02_se,a_GAMMA_02_wald,a_GAMMA_02_pval,a_GAMMA_12_est,a_GAMMA_12_se,a_GAMMA_12_wald,a_GAMMA_12_pval,b_GAMMA_02_est,b_GAMMA_02_se,b_GAMMA_02_wald,b_GAMMA_02_pval,b_GAMMA_12_est,b_GAMMA_12_se,b_GAMMA_12_wald,b_GAMMA_12_pval,a_GAMMA_03_est,a_GAMMA_03_se,a_GAMMA_03_wald,a_GAMMA_03_pval,a_GAMMA_13_est,a_GAMMA_13_se,a_GAMMA_13_wald,a_GAMMA_13_pval,b_GAMMA_03_est,b_GAMMA_03_se,b_GAMMA_03_wald,b_GAMMA_03_pval,b_GAMMA_13_est,b_GAMMA_13_se,b_GAMMA_13_wald,b_GAMMA_13_pval,a_GAMMA_04_est,a_GAMMA_04_se,a_GAMMA_04_wald,a_GAMMA_04_pval,a_GAMMA_14_est,a_GAMMA_14_se,a_GAMMA_14_wald,a_GAMMA_14_pval,b_GAMMA_04_est,b_GAMMA_04_se,b_GAMMA_04_wald,b_GAMMA_04_pval,b_GAMMA_14_est,b_GAMMA_14_se,b_GAMMA_14_wald,b_GAMMA_14_pval,a_GAMMA_05_est,a_GAMMA_05_se,a_GAMMA_05_wald,a_GAMMA_05_pval,a_GAMMA_15_est,a_GAMMA_15_se,a_GAMMA_15_wald,a_GAMMA_15_pval,b_GAMMA_05_est,b_GAMMA_05_se,b_GAMMA_05_wald,b_GAMMA_05_pval,b_GAMMA_15_est,b_GAMMA_15_se,b_GAMMA_15_wald,b_GAMMA_15_pval,a_GAMMA_06_est,a_GAMMA_06_se,a_GAMMA_06_wald,a_GAMMA_06_pval,a_GAMMA_16_est,a_GAMMA_16_se,a_GAMMA_16_wald,a_GAMMA_16_pval,b_GAMMA_06_est,b_GAMMA_06_se,b_GAMMA_06_wald,b_GAMMA_06_pval,b_GAMMA_16_est,b_GAMMA_16_se,b_GAMMA_16_wald,b_GAMMA_16_pval,process_a,process_b,process_b_cell,process_b_row,process_b_domain,ab_CORR_00,ab_CORR_11,ab_CORR_residual,outcome_count,ab_CORR_00_z,ab_CORR_11_z,ab_CORR_residual_z,ab_ZETA_00_low,ab_ZETA_00_high,ab_ZETA_11_low,ab_ZETA_11_high,ab_ZETA_residual_low,ab_ZETA_residual_high,ab_CI95_00_low,ab_CI95_00_high,ab_CI95_11_low,ab_CI95_11_high,ab_CI95_residual_low,ab_CI95_residual_high,test_00,test_11,test_Res,uni_bi
Mplus VERSION 7.31,0.1,12/01/2015, 1:03 PM,b1_female_aehplus_fev_gait.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_female_aehplus_fev_gait.out,elsa,b1,female,aehplus,3511,6,NA,41,-3368.305,6818.61,7071.32,6941.043,6819.60279331219,TRUE,TRUE,NA,0,0.016,0.004,4.314,0.0,0.0,0.0,0.732,0.464,0.0,0.0,-0.168,0.866,0.0,0.001,-0.019,0.985,0.001,0.001,0.749,0.454,0.144,0.015,9.619,0,0.0,0.0,0.804,0.421,-0.001,0.002,-0.773,0.439,0.101,0.009,11.353,0,0.037,0.002,20.315,0.0,0.0,0.0,4.222,0.0,0.0,0.0,-4.276,0.0,0.023,0.001,26.96,0.0,1.885,0.02,93.715,0,-0.029,0.003,-10.69,0.0,0.844,0.011,76.193,0,-0.018,0.001,-12.412,0.0,0.219,0.042,5.267,0.0,0.397,0.249,1.591,0.112,0.022,0.028,0.763,0.445,-0.026,0.001,-22.186,0.0,0.0,0.0,-0.829,0.407,-0.01,0.001,-11.897,0.0,-0.001,0.0,-5.384,0.0,0.098,0.021,4.645,0.0,0.001,0.003,0.47,0.639,0.09,0.012,7.492,0.0,0.0,0.001,-0.096,0.924,0.029,0.002,16.472,0.0,-0.001,0.0,-2.415,0.016,0.006,0.001,6.336,0.0,0.0,0.0,-2.593,0.01,-0.104,0.02,-5.175,0.0,-0.002,0.003,-0.835,0.404,-0.038,0.011,-3.266,0.001,0.0,0.001,0.084,0.933,-0.114,0.037,-3.091,0.002,0.003,0.006,0.437,0.662,-0.084,0.019,-4.399,0.0,-0.002,0.003,-0.945,0.345,-0.046,0.045,-1.021,0.307,-0.003,0.007,-0.468,0.64,-0.134,0.027,-5.034,0.0,-0.001,0.003,-0.186,0.853,fev,gait,gait,gait,gait,0.2191986497404764,NaN,0.02074795966816339,2,0.22281415650488473,NaN,0.020750937616253285,0.18972251592351394,0.2559057970862555,NaN,NaN,-0.012340702965117498,0.05384257819762407,0.1874784887872378,0.2504621166364537,NaN,NaN,-0.012340076535925905,0.05379060816679125,ERROR,NA,TRUE,b
Mplus VERSION 7.31,0.1,12/01/2015,12:56 PM,b1_female_aehplus_grip_fev.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_female_aehplus_grip_fev.out,elsa,b1,female,aehplus,3511,6,NA,41,-26235.725,52553.449,52806.159,52675.882,52554.4417933122,TRUE,TRUE,NA,0,0.397,0.071,5.636,0.0,0.001,0.001,1.217,0.224,-0.018,0.009,-1.98,0.048,-0.01,0.008,-1.294,0.196,0.013,0.023,0.563,0.573,18.642,1.211,15.389,0,0.03,0.018,1.637,0.102,-0.218,0.127,-1.716,0.086,8.644,0.426,20.301,0,0.14,0.017,7.991,0.0,0.0,0.0,0.405,0.685,-0.001,0.002,-0.384,0.701,0.102,0.01,10.531,0.0,20.542,0.209,98.225,0,-0.409,0.026,-15.598,0.0,1.883,0.02,93.684,0,-0.028,0.003,-10.442,0.0,0.246,0.045,5.439,0.0,0.633,0.947,0.668,0.504,0.014,0.024,0.563,0.573,-0.223,0.012,-19.344,0.0,-0.011,0.002,-7.004,0.0,-0.026,0.001,-22.235,0.0,0.0,0.0,-0.614,0.54,1.017,0.219,4.633,0.0,-0.017,0.026,-0.655,0.513,0.098,0.021,4.678,0.0,0.001,0.003,0.42,0.674,0.223,0.017,13.277,0.0,-0.004,0.002,-2.059,0.04,0.029,0.002,16.517,0.0,-0.001,0.0,-2.465,0.014,-0.132,0.201,-0.657,0.511,-0.007,0.024,-0.281,0.779,-0.104,0.02,-5.181,0.0,-0.002,0.003,-0.807,0.42,-1.723,0.398,-4.328,0.0,0.081,0.052,1.57,0.117,-0.113,0.037,-3.041,0.002,0.003,0.006,0.412,0.681,-1.482,0.457,-3.245,0.001,0.021,0.056,0.379,0.705,-0.045,0.045,-1.002,0.316,-0.004,0.007,-0.514,0.608,grip,fev,fev,fev,pulmonary,0.2457424801716518,Inf,0.013844774527222527,2,0.2508765764129845,NaN,0.013845659207525441,0.2177849358316137,0.28396821699435526,NaN,NaN,-0.019245981373845342,0.04693729978889623,0.21440583011545566,0.2765737636898001,NaN,NaN,-0.019243605438670323,0.046902860791149484,ERROR,NA,TRUE,b
Mplus VERSION 7.31,0.1,12/01/2015, 2:25 PM,b1_female_aehplus_grip_gait.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_female_aehplus_grip_gait.out,elsa,b1,female,aehplus,3511,6,NA,41,-21130.653,42343.306,42596.016,42465.739,42344.2987933122,TRUE,TRUE,NA,0,0.304,0.033,9.218,0.0,0.001,0.0,2.012,0.044,0.0,0.002,-0.158,0.874,-0.004,0.004,-1.142,0.253,0.026,0.01,2.711,0.007,18.788,1.153,16.295,0,0.034,0.016,2.076,0.038,-0.237,0.116,-2.042,0.041,8.575,0.401,21.406,0,0.037,0.002,21.615,0.0,0.0,0.0,7.758,0.0,0.0,0.0,-5.616,0.0,0.023,0.001,27.624,0.0,20.564,0.209,98.436,0,-0.416,0.026,-15.861,0.0,0.844,0.011,76.531,0,-0.018,0.001,-12.813,0.0,0.363,0.03,11.916,0.0,0.496,0.097,5.116,0.0,0.059,0.021,2.788,0.005,-0.222,0.012,-19.27,0.0,-0.011,0.002,-7.335,0.0,-0.009,0.001,-11.556,0.0,-0.001,0.0,-5.955,0.0,1.016,0.219,4.638,0.0,-0.018,0.026,-0.688,0.491,0.091,0.012,7.606,0.0,0.0,0.001,-0.104,0.917,0.223,0.017,13.341,0.0,-0.004,0.002,-2.062,0.039,0.006,0.001,6.516,0.0,0.0,0.0,-2.703,0.007,-0.147,0.201,-0.731,0.465,-0.006,0.024,-0.256,0.798,-0.039,0.011,-3.395,0.001,0.0,0.001,0.146,0.884,-1.725,0.398,-4.337,0.0,0.082,0.051,1.599,0.11,-0.085,0.019,-4.481,0.0,-0.002,0.003,-0.838,0.402,-1.492,0.456,-3.272,0.001,0.021,0.056,0.379,0.705,-0.132,0.026,-4.998,0.0,-0.001,0.003,-0.151,0.88,grip,gait,gait,gait,gait,0.36461324916603294,Inf,0.05854534446347604,2,0.3821962318017868,NaN,0.05861237153645357,0.34910459122041604,0.41528787238315756,NaN,NaN,0.02552073095508279,0.09170401211782436,0.33558121068722213,0.392953308525575,NaN,NaN,0.02551519178189508,0.09144780843756006,ERROR,NA,TRUE,b
Mplus VERSION 7.31,0.1,12/01/2015,12:44 PM,b1_male_aehplus_fev_gait.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_male_aehplus_fev_gait.out,elsa,b1,male,aehplus,3091,6,NA,41,-5349.677,10781.353,11028.84,10898.566,10782.4825506724,TRUE,TRUE,NA,0,0.028,0.006,4.474,0.0,0.0,0.0,1.255,0.209,-0.001,0.001,-0.928,0.353,-0.001,0.001,-1.8,0.072,0.001,0.002,0.535,0.593,0.364,0.037,9.926,0,0.001,0.001,1.78,0.075,-0.011,0.005,-2.449,0.014,0.192,0.017,10.994,0,0.036,0.004,8.728,0.0,0.0,0.0,1.287,0.198,-0.001,0.001,-1.138,0.255,0.025,0.001,21.195,0.0,2.62,0.041,63.546,0,-0.033,0.006,-5.357,0.0,0.88,0.015,58.749,0,-0.017,0.002,-8.434,0.0,0.241,0.053,4.552,0.0,0.344,0.306,1.124,0.261,0.013,0.025,0.535,0.592,-0.033,0.002,-18.242,0.0,0.0,0.0,-1.407,0.159,-0.008,0.001,-9.473,0.0,0.0,0.0,-3.862,0.0,0.221,0.035,6.327,0.0,-0.008,0.005,-1.751,0.08,0.102,0.013,7.802,0.0,0.003,0.002,1.896,0.058,0.034,0.003,13.124,0.0,0.0,0.0,-0.144,0.885,0.005,0.001,4.943,0.0,0.0,0.0,-1.649,0.099,-0.218,0.034,-6.371,0.0,0.004,0.004,0.856,0.392,-0.041,0.014,-2.925,0.003,0.0,0.002,-0.019,0.984,-0.206,0.046,-4.438,0.0,0.004,0.006,0.697,0.486,-0.039,0.016,-2.388,0.017,-0.002,0.002,-0.896,0.37,-0.014,0.056,-0.243,0.808,-0.022,0.009,-2.553,0.011,-0.063,0.021,-3.038,0.002,-0.001,0.003,-0.271,0.786,fev,gait,gait,gait,gait,0.24459979523511427,NaN,0.014433756729740644,2,0.24966081313299043,NaN,0.014434759199269662,0.21439048945868788,0.284931136807293,NaN,NaN,-0.020835564475032875,0.0497050828735722,0.21116507983123992,0.27746278979371536,NaN,NaN,-0.020832549948227936,0.04966418957131044,ERROR,NA,TRUE,b
Mplus VERSION 7.31,0.1,12/01/2015,12:47 PM,b1_male_aehplus_grip_fev.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_male_aehplus_grip_fev.out,elsa,b1,male,aehplus,3091,6,NA,41,-27840.232,55762.465,56009.951,55879.677,55763.5945506724,TRUE,TRUE,NA,0,0.712,0.157,4.53,0.0,0.003,0.002,1.493,0.136,-0.027,0.02,-1.373,0.17,-0.019,0.018,-1.066,0.287,0.025,0.049,0.513,0.608,39.846,2.975,13.395,0,0.054,0.045,1.193,0.233,-0.578,0.334,-1.73,0.084,18.413,0.959,19.197,0,0.363,0.037,9.875,0.0,0.001,0.001,1.707,0.088,-0.011,0.005,-2.379,0.017,0.192,0.018,10.97,0.0,34.6,0.398,86.982,0,-0.637,0.054,-11.835,0.0,2.621,0.041,63.585,0,-0.033,0.006,-5.375,0.0,0.187,0.041,4.581,0.0,0.42,0.342,1.227,0.22,0.013,0.026,0.516,0.606,-0.43,0.018,-24.36,0.0,-0.013,0.002,-5.483,0.0,-0.033,0.002,-18.261,0.0,0.0,0.0,-1.387,0.165,1.334,0.35,3.811,0.0,-0.041,0.044,-0.934,0.35,0.22,0.035,6.294,0.0,-0.008,0.005,-1.672,0.095,0.29,0.023,12.394,0.0,0.002,0.003,0.605,0.545,0.034,0.003,13.154,0.0,0.0,0.0,-0.192,0.848,-0.333,0.34,-0.978,0.328,-0.015,0.04,-0.375,0.707,-0.218,0.034,-6.376,0.0,0.004,0.004,0.828,0.408,0.025,0.453,0.054,0.957,-0.17,0.059,-2.891,0.004,-0.205,0.046,-4.411,0.0,0.004,0.006,0.639,0.523,-1.585,0.581,-2.727,0.006,-0.212,0.067,-3.179,0.001,-0.012,0.056,-0.211,0.833,-0.022,0.009,-2.589,0.01,grip,fev,fev,fev,pulmonary,0.18721227282877512,0.4082482904638631,0.013296187099832857,2,0.18944661635981533,0.43350736324528266,0.013296970721018469,0.1541762926855128,0.22471694003411785,0.3982370395709801,0.4687776869195852,-0.021973352953284068,0.04856729439532101,0.15296619012039622,0.22100925087088277,0.3784394954039449,0.4372111798775914,-0.02196981718437228,0.048529143835815636,ERROR,ERROR,TRUE,b
Mplus VERSION 7.31,0.1,12/01/2015,12:52 PM,b1_male_aehplus_grip_gait.out, ELSA_Portland_New_nomiss_years.dat,./data/shared/covariance-issue/studies/elsa/physical/b1_male_aehplus_grip_gait.out,elsa,b1,male,aehplus,3091,6,NA,41,-21281.844,42645.687,42893.174,42762.9,42646.8165506724,TRUE,TRUE,NA,0,0.335,0.067,5.034,0.0,0.001,0.001,1.436,0.151,0.004,0.008,0.457,0.648,-0.007,0.008,-0.89,0.374,0.014,0.018,0.786,0.432,40.496,2.987,13.559,0,0.07,0.046,1.535,0.125,-0.662,0.337,-1.966,0.049,18.144,0.937,19.374,0,0.036,0.004,8.809,0.0,0.0,0.0,1.317,0.188,-0.001,0.001,-1.123,0.262,0.025,0.001,21.312,0.0,34.624,0.398,87.077,0,-0.646,0.054,-12.02,0.0,0.88,0.015,58.928,0,-0.017,0.002,-8.662,0.0,0.277,0.053,5.219,0.0,0.548,0.405,1.352,0.176,0.022,0.027,0.789,0.43,-0.428,0.018,-24.282,0.0,-0.014,0.002,-5.841,0.0,-0.008,0.001,-9.448,0.0,0.0,0.0,-4.081,0.0,1.337,0.35,3.82,0.0,-0.045,0.044,-1.026,0.305,0.101,0.013,7.753,0.0,0.003,0.002,2.061,0.039,0.289,0.023,12.359,0.0,0.002,0.003,0.661,0.509,0.005,0.001,4.757,0.0,0.0,0.0,-1.38,0.168,-0.338,0.34,-0.994,0.32,-0.013,0.04,-0.323,0.746,-0.041,0.014,-2.895,0.004,0.0,0.002,-0.13,0.897,0.016,0.453,0.035,0.972,-0.164,0.059,-2.79,0.005,-0.037,0.016,-2.255,0.024,-0.002,0.002,-1.07,0.284,-1.58,0.58,-2.725,0.006,-0.214,0.066,-3.224,0.001,-0.063,0.021,-3.058,0.002,-0.001,0.003,-0.357,0.721,grip,gait,gait,gait,gait,0.2774517655350497,Inf,0.020786985482077452,2,0.28491919309099867,NaN,0.020789980268796606,0.24964886941669612,0.3201895167653012,NaN,NaN,-0.01448034340550593,0.056060303943099146,0.24458856606733198,0.30967827325466424,NaN,NaN,-0.014479331409249792,0.05600164969288092,ERROR,NA,TRUE,b
Mplus VERSION 7.31,0.1,01/27/2016, 1:09 PM,b1_female_aehplus_grip_gait.out, LASAPhysicalCognitiveDescriptives_samesample.dat,./data/shared/covariance-issue/studies/lasa/physical/b1_female_aehplus_grip_gait.out,lasa,b1,female,aehplus,782,6,NA,41,-15403.759,30889.518,31080.654,30950.459,30894.1720540541,TRUE,TRUE,NA,0,-3.908,1.27,-3.077,0.002,-0.019,0.019,-1.021,0.307,-0.076,0.154,-0.494,0.621,-0.127,0.245,-0.518,0.604,0.091,0.401,0.228,0.82,15.215,1.961,7.758,0,0.006,0.024,0.239,0.811,-0.092,0.188,-0.487,0.626,13.008,0.693,18.764,0,8.793,6.383,1.378,0.168,0.135,0.081,1.663,0.096,0.576,0.803,0.717,0.473,17.465,5.568,3.137,0.002,19.409,0.285,68.019,0,-0.285,0.032,-8.894,0.0,8.837,0.265,33.315,0,0.436,0.059,7.456,0.0,-0.338,0.073,-4.602,0.0,-0.685,1.604,-0.427,0.669,0.006,0.027,0.226,0.821,-0.302,0.025,-12.19,0.0,-0.013,0.003,-4.155,0.0,0.246,0.034,7.302,0.0,0.034,0.009,3.794,0.0,0.087,0.057,1.507,0.132,-0.005,0.005,-0.913,0.361,-0.084,0.054,-1.554,0.12,-0.005,0.009,-0.527,0.598,0.168,0.029,5.808,0.0,-0.003,0.003,-1.139,0.255,0.017,0.026,0.635,0.525,0.008,0.004,1.888,0.059,-0.6,0.515,-1.165,0.244,-0.047,0.048,-0.989,0.323,0.467,0.361,1.293,0.196,0.066,0.069,0.955,0.34,-0.34,0.439,-0.776,0.438,-0.025,0.041,-0.621,0.535,0.924,0.461,2.003,0.045,0.057,0.067,0.853,0.394,-1.932,0.764,-2.529,0.011,-0.054,0.088,-0.614,0.539,2.518,0.956,2.632,0.008,0.058,0.184,0.313,0.754,grip,gait,gait,gait,gait,-0.33787031765702186,-0.6675919504799912,0.006037426173937803,2,-0.35168644096622675,-0.8063863199660896,0.006037499531306205,-0.4219094382406635,-0.28146344369179,-0.8766093172405263,-0.7361633226916529,-0.06418549774313052,0.07626049680574294,-0.39853781084780565,-0.27425898939898175,-0.7047166122667282,-0.6268215342282334,-0.0640974994172979,0.07611300477581392,ERROR,ERROR,TRUE,b
Mplus VERSION 7.31,0.1,01/27/2016, 1:12 PM,b1_female_aehplus_grip_pef.out, LASAPhysicalCognitiveDescriptives_samesample.dat,./data/shared/covariance-issue/studies/lasa/physical/b1_female_aehplus_grip_pef.out,lasa,b1,female,aehplus,782,6,NA,41,-16837.662,33757.325,33948.461,33818.265,33761.979054054,TRUE,TRUE,NA,0,76.858,19.879,3.866,0.0,0.004,0.225,0.017,0.986,-0.02,1.503,-0.013,0.989,0.335,3.34,0.1,0.92,5.728,7.322,0.782,0.434,14.552,2.148,6.775,0,0.002,0.044,0.039,0.969,-0.048,0.25,-0.194,0.847,14.43,0.798,18.075,0,4647.014,390.63,11.896,0.0,8.791,3.972,2.213,0.027,-55.815,33.497,-1.666,0.096,2100.132,188.179,11.16,0.0,19.487,0.287,67.951,0,-0.31,0.035,-8.883,0.0,346.091,4.986,69.419,0,-4.425,0.567,-7.806,0.0,0.296,0.067,4.428,0.0,0.031,1.492,0.021,0.983,0.033,0.042,0.784,0.433,-0.302,0.025,-12.338,0.0,-0.013,0.003,-4.287,0.0,-5.229,0.411,-12.73,0.0,-0.084,0.05,-1.678,0.093,0.091,0.057,1.591,0.112,-0.006,0.005,-1.135,0.256,2.133,1.023,2.085,0.037,0.0,0.111,0.002,0.999,0.164,0.029,5.633,0.0,-0.003,0.003,-0.835,0.404,1.984,0.462,4.294,0.0,0.012,0.05,0.245,0.807,-0.611,0.511,-1.196,0.232,-0.093,0.052,-1.771,0.077,-39.658,8.222,-4.823,0.0,0.106,0.727,0.145,0.884,-0.407,0.442,-0.921,0.357,-0.019,0.045,-0.434,0.664,-12.255,8.531,-1.437,0.151,0.298,0.872,0.342,0.732,-1.822,0.747,-2.439,0.015,-0.076,0.094,-0.814,0.415,7.916,13.143,0.602,0.547,-3.4,1.702,-1.998,0.046,grip,pef,pef,pef,pulmonary,0.29555665694743655,0.030166564488077013,0.032903837187462225,2,0.30464391304753946,0.030175720229642308,0.03291571949069349,0.23442091577310273,0.37486691032197617,-0.040047277044794424,0.10039871750407904,-0.037307277783743244,0.10313871676513023,0.2302191936885978,0.3582413945205713,-0.0400258817040501,0.10006273567763488,-0.037289978914717116,0.10277455026660387,ERROR,-,TRUE,b
Mplus VERSION 7.31,0.1,10/26/2015,10:45 AM,b1_female_aehplus_pef_gait.out, LASAPhysicalCognitiveDescriptives_samesample.dat,./data/shared/covariance-issue/studies/lasa/physical/b1_female_aehplus_pef_gait.out,lasa,b1,female,aehplus,782,6,NA,41,-24498.99,49079.98,49271.116,49140.92,49084.6340540541,TRUE,TRUE,NA,0,-19.827,9.763,-2.031,0.042,-0.156,0.132,-1.184,0.236,-5.937,2.223,-2.671,0.008,-0.28,0.577,-0.485,0.627,-3.883,4.682,-0.829,0.407,3905.202,273.762,14.265,0,1.263,0.912,1.385,0.166,23.548,13.592,1.733,0.083,2094.66,137.171,15.27,0,1.955,1.568,1.247,0.212,0.318,0.187,1.704,0.088,0.563,0.456,1.236,0.217,13.333,2.514,5.303,0.0,351.972,4.521,77.852,0,-3.77,0.362,-10.425,0.0,7.716,0.169,45.718,0,0.449,0.056,7.97,0.0,-0.227,0.133,-1.709,0.088,-0.246,0.199,-1.241,0.214,-0.023,0.027,-0.848,0.396,-4.495,0.357,-12.604,0.0,-0.138,0.03,-4.535,0.0,0.129,0.018,7.174,0.0,0.039,0.007,5.994,0.0,3.083,0.871,3.541,0.0,-0.088,0.065,-1.358,0.175,-0.049,0.036,-1.357,0.175,-0.008,0.009,-0.866,0.386,2.534,0.411,6.169,0.0,-0.042,0.03,-1.37,0.171,-0.026,0.019,-1.404,0.16,0.011,0.005,2.456,0.014,-30.645,6.898,-4.442,0.0,-0.817,0.469,-1.744,0.081,0.323,0.272,1.19,0.234,0.064,0.056,1.128,0.259,-12.35,7.366,-1.677,0.094,0.062,0.52,0.119,0.905,1.273,0.34,3.748,0.0,-0.033,0.073,-0.457,0.648,-3.862,12.452,-0.31,0.756,-0.893,1.135,-0.787,0.431,1.737,0.818,2.124,0.034,0.185,0.154,1.2,0.23,pef,gait,gait,gait,gait,-0.22691430442872249,-0.24615539750398002,-0.023235214242093186,2,-0.2309338486320281,-0.2513160796935994,-0.023239396968897586,-0.30115684590646485,-0.16071085135759136,-0.3215390769680362,-0.1810930824191627,-0.09346239424333432,0.04698360030553915,-0.2923709277713352,-0.15934138573319448,-0.3108978993216654,-0.1791390794274021,-0.09319120360285378,0.04694905935192919,ERROR,ERROR,TRUE,b
Mplus VERSION 7.31,0.1,01/27/2016, 1:19 PM,b1_male_aehplus_grip_gait.out, LASAPhysicalCognitiveDescriptives_samesample.dat,./data/shared/covariance-issue/studies/lasa/physical/b1_male_aehplus_grip_gait.out,lasa,b1,male,aehplus,800,6,NA,41,-14605.012,29292.023,29484.092,29353.894,29296.5665356201,TRUE,TRUE,NA,0,-5.543,2.735,-2.027,0.043,-0.098,0.181,-0.54,0.589,-0.972,1.285,-0.757,0.449,-0.446,0.483,-0.923,0.356,-0.491,0.593,-0.828,0.408,38.293,3.58,10.695,0,0.064,0.044,1.453,0.146,-0.098,0.351,-0.28,0.78,20.952,1.193,17.564,0,6.484,2.915,2.224,0.026,0.263,1.258,0.209,0.834,1.285,0.527,2.438,0.015,9.594,1.483,6.471,0.0,34.11,0.489,69.7,0,-0.677,0.062,-10.934,0.0,8.188,0.236,34.643,0,0.5,0.263,1.897,0.058,-0.352,0.212,-1.657,0.098,-0.756,0.492,-1.537,0.124,-0.035,0.043,-0.811,0.418,-0.462,0.038,-12.14,0.0,-0.039,0.005,-7.512,0.0,0.141,0.021,6.879,0.0,0.034,0.008,4.139,0.0,-0.093,0.083,-1.119,0.263,0.012,0.008,1.369,0.171,-0.127,0.027,-4.618,0.0,-0.01,0.012,-0.828,0.408,0.221,0.041,5.455,0.0,-0.003,0.004,-0.687,0.492,-0.018,0.016,-1.13,0.258,0.002,0.004,0.439,0.66,0.2,0.61,0.328,0.743,-0.106,0.06,-1.761,0.078,0.081,0.287,0.281,0.779,0.069,0.118,0.586,0.558,0.352,0.61,0.577,0.564,-0.045,0.066,-0.682,0.495,0.304,0.272,1.12,0.263,-0.015,0.067,-0.219,0.827,-3.0,1.425,-2.105,0.035,-0.308,0.124,-2.482,0.013,0.464,0.484,0.96,0.337,0.157,0.213,0.74,0.459,grip,gait,gait,gait,gait,-0.35177395342854284,-0.7553673595733043,-0.03463130780024019,2,-0.36746678779521064,-0.9853378886199494,-0.0346451625311271,-0.4368922740657965,-0.29804130152462477,-1.0547633748905354,-0.9159124023493636,-0.10407064880171296,0.03478032373945877,-0.41106514615484396,-0.28951911401461067,-0.783651372018349,-0.7239579390328965,-0.1036965500951877,0.03476630627329627,ERROR,ERROR,TRUE,b
