category,domain_0,domain,entry_raw,entry_new,label_row,label_cell,notes,,mplus_name,study_name,
cognitive,knowledge,episodic memory,info,information,information,info,literal,TRUE,,,
cognitive,knowledge,episodic memory,information,information,information,info,alternative  for info,TRUE,,,
cognitive,knowledge,episodic memory,waisgeneralknowledge,waisgeneral,information,waisg,alternative  for info,FALSE,,,
cognitive,knowledge,semantic memory,nart,nart,reading,nart,literal,FALSE,,,https://egret.psychol.cam.ac.uk/camcops/documentation/tasks/nart.html
cognitive,knowledge,semantic memory,nationaladultreadingtest,nart,reading,nart,alternative name for nart,FALSE,,,
cognitive,knowledge,semantic memory,synon,synonyms,synonyms,synon,literal,TRUE,,,
cognitive,knowledge,semantic memory,synonyms,synonyms,synonyms,synon,alternative for synon,TRUE,,,
cognitive,knowledge,semantic memory,waisvocab,waisvocab,vocabulary,waisvoc,literal,FALSE,,,
cognitive,language,language,bnt,bnt,boston naming test,bnt,literal,FALSE,,,
cognitive,language,language,bostonnamingtest,bnt,boston naming test,bnt,alternative to bnt,FALSE,,,
cognitive,language,language,bostonnaming,bnt,boston naming test,bnt,alternative to bnt,FALSE,,,
cognitive,fluency,fluency,categories,categories,categories,cat,alternative to category,TRUE,,,
cognitive,fluency,fluency,category,categories,categories,cat,literal,TRUE,,,
cognitive,fluency,fluency,categoryfluency,categories,categories,cat,alternative to categories,TRUE,,,
cognitive,fluency,fluency,fluency,fluency,fluency,fluency,literal,TRUE,,,
cognitive,fluency,fluency,verbalfluencytest,fluency,fluency,fluency,unverified,TRUE,,,
cognitive,fluency,fluency,fas,fas,f-a-s phonemic words,fas,literal,FALSE,,,http://www.clinicalneuropsychiatry.org/pdf/03abreu.pdf
cognitive,memory,semantic memory,delayedrecall,word_de,word list delayed,word_de,alt to wordlistrecall,FALSE,cflisd,elsa,
cognitive,memory,semantic memory,delayedrecall,word_de,word list delayed,word_de,alt to wordlistrecall,FALSE,recall04d,hrs,
cognitive,memory,semantic memory,wordlistdelay,word_de,word list delayed,word_de,literal,FALSE,,,
cognitive,memory,short-term memory,wordlistimmed,word_im,word list immediate,word_im,literal,FALSE,,,
cognitive,memory,short-term memory,immediaterecall,word_im,word list immediate,word_im,alternative to wordlistimmed,FALSE,,,
cognitive,memory,semantic memory,wordlistrecog,word_rec,word list recognition,word_rec,literal,FALSE,,,
cognitive,memory,short-term memory,figurememory,fig_mem,figure memory,fig_mem,literal,FALSE,,,
cognitive,memory,episodic memory,mirrecall,mir,memory in reality,mir,literal,FALSE,,,
cognitive,memory,short-term memory,prose,prose_im,prose recall immediate,prose_im,literal,FALSE,,,
cognitive,memory,short-term memory,proserecall,prose_im,prose recall immediate,prose_im,alternative to prose,FALSE,,,
cognitive,memory,episodic memory,bostonstorydelay,bstory_de,prose recall delayed,bstory_de,literal,FALSE,,,
cognitive,memory,short-term memory,bostonstoryimmediate,bstory_im,prose recall immediate,bstory_im,literal,FALSE,,,
cognitive,memory,short-term memory,logicalmemoryimmed,logic_im,logical memory immediate,logic_im,literal,FALSE,,,
